Antigua and Barbuda,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,-0.017000000000000126,0.05,,,,
25,1825,0.16299999999999987,0.04,,,,
26,1826,-0.027000000000000135,0.04,,,,
27,1827,0.22299999999999986,0.04,,,,
28,1828,-0.007000000000000117,0.03,,,,
29,1829,-0.1070000000000001,0.03,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,0.0129999999999999,-0.02,,,,
52,1852,-0.17700000000000016,-0.04,,,,
53,1853,0.03299999999999986,-0.06,,,,
54,1854,-0.1170000000000001,-0.09,,,,
55,1855,0.05299999999999988,-0.11,,,,
56,1856,0.15299999999999986,-0.13,,,,
57,1857,-0.42700000000000016,-0.15,,,,
58,1858,-0.39700000000000013,-0.17,,,,
59,1859,-0.30700000000000016,-0.19,,,,
60,1860,-0.21700000000000008,-0.19,,,,
61,1861,-0.13700000000000012,-0.17,,,,
62,1862,-0.29700000000000015,-0.14,,,,
63,1863,-0.18700000000000017,-0.09,,,,
64,1864,-0.1170000000000001,-0.03,,,,
65,1865,0.11299999999999988,0.02,,,,
66,1866,0.14299999999999985,0.07,,,,
67,1867,0.16299999999999987,0.11,,,,
68,1868,0.3729999999999999,0.14,,,,
69,1869,0.3829999999999999,0.15,,,,
70,1870,-0.027000000000000135,0.16,,,,
71,1871,0.17299999999999988,0.16,,,,
72,1872,0.3729999999999999,0.15,,,,
73,1873,0.05299999999999988,0.14,,,,
74,1874,-0.04700000000000015,0.12,,,,
75,1875,-0.027000000000000135,0.09,,,,
76,1876,0.12299999999999989,0.06,,,,
77,1877,0.3929999999999999,0.03,,,,
78,1878,0.47299999999999986,0.0,,,,
79,1879,-0.20700000000000007,-0.02,,,,
80,1880,-0.3270000000000002,-0.04,,,,
81,1881,0.03299999999999986,-0.06,,,,
82,1882,-0.15700000000000014,-0.08,,,,
83,1883,-0.2270000000000001,-0.1,,,,
84,1884,-0.2570000000000001,-0.11,,,,
85,1885,0.23299999999999987,-0.1,,,,
86,1886,-0.1170000000000001,-0.1,,,,
87,1887,-0.2570000000000001,-0.1,,,,
88,1888,0.0729999999999999,-0.11,,,,
89,1889,0.3829999999999999,-0.12,,,,
90,1890,-0.43700000000000017,-0.12,,,,
91,1891,-0.06700000000000017,-0.12,,,,
92,1892,-0.13700000000000012,-0.12,,,,
93,1893,-0.29700000000000015,-0.11,,,,
94,1894,-0.30700000000000016,-0.09,,,,
95,1895,-0.07700000000000018,-0.07,,,,
96,1896,-0.027000000000000135,-0.04,,,,
97,1897,0.17299999999999988,0.01,,,,
98,1898,0.14299999999999985,0.04,,,,
99,1899,-0.04700000000000015,0.08,,,,
100,1900,0.08299999999999985,0.1,,,,
101,1901,0.2729999999999999,0.11,,,,
102,1902,0.2729999999999999,0.1,,,,
103,1903,0.23299999999999987,0.09,,,,
104,1904,-0.13700000000000012,0.07,,,,
105,1905,0.14299999999999985,0.04,,,,
106,1906,0.05299999999999988,0.01,,,,
107,1907,-0.1270000000000001,-0.02,,,,
108,1908,0.0029999999999998916,-0.06,,,,
109,1909,-0.16700000000000015,-0.08,,,,
110,1910,-0.2270000000000001,-0.09,,,,
111,1911,-0.09700000000000009,-0.11,,,,
112,1912,-0.007000000000000117,-0.12,,,,
113,1913,-0.4970000000000001,-0.13,,,,
114,1914,-0.037000000000000144,-0.12,,,,
115,1915,0.22299999999999986,-0.12,,,,
116,1916,-0.17700000000000016,-0.1,,,,
117,1917,-0.43700000000000017,-0.09,,,,
118,1918,-0.17700000000000016,-0.08,,,,
119,1919,0.15299999999999986,-0.07,,,,
120,1920,-0.07700000000000018,-0.06,,,,
121,1921,0.022999999999999854,-0.04,,,,
122,1922,-0.07700000000000018,-0.01,,,,
123,1923,-0.08700000000000008,0.02,,,,
124,1924,0.08299999999999985,0.04,,,,
125,1925,-0.1170000000000001,0.07,,,,
