Belarus,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.005806451612903274,0.53,,,,
1,1801,1.3141935483870968,0.44,,,,
2,1802,1.0541935483870968,0.36,,,,
3,1803,-0.33580645161290323,0.27,,,,
4,1804,-0.19580645161290322,0.19,,,,
5,1805,-0.8858064516129032,0.11,,,,
6,1806,0.7441935483870967,0.02,,,,
7,1807,0.9541935483870967,-0.06,,,,
8,1808,-0.3858064516129033,-0.15,,,,
9,1809,-0.8558064516129034,-0.23,,,,
10,1810,-0.6058064516129034,-0.28,,,,
11,1811,0.5341935483870968,-0.3,,,,
12,1812,-1.2158064516129032,-0.3,,,,
13,1813,-0.20580645161290323,-0.29,,,,
14,1814,-0.7658064516129033,-0.27,,,,
15,1815,-0.8658064516129034,-0.22,,,,
16,1816,-0.45580645161290323,-0.15,,,,
17,1817,0.1641935483870967,-0.06,,,,
18,1818,0.3341935483870967,0.05,,,,
19,1819,0.4741935483870967,0.16,,,,
20,1820,-0.5258064516129033,0.26,,,,
21,1821,0.37419354838709673,0.34,,,,
22,1822,1.4641935483870967,0.39,,,,
23,1823,0.3541935483870967,0.41,,,,
24,1824,1.5041935483870967,0.39,,,,
25,1825,0.3341935483870967,0.35,,,,
26,1826,0.9541935483870967,0.31,,,,
27,1827,0.9741935483870967,0.27,,,,
28,1828,-0.5358064516129033,0.24,,,,
29,1829,-1.8658064516129034,0.19,,,,
30,1830,-0.1658064516129033,0.13,,,,
31,1831,-0.04580645161290331,0.05,,,,
32,1832,-1.2858064516129033,-0.03,,,,
33,1833,0.45419354838709675,-0.1,,,,
34,1834,1.1641935483870967,-0.15,,,,
35,1835,-0.1658064516129033,-0.16,,,,
36,1836,0.46419354838709675,-0.16,,,,
37,1837,-0.37580645161290327,-0.14,,,,
38,1838,-1.2458064516129033,-0.14,,,,
39,1839,-0.2558064516129033,-0.15,,,,
40,1840,-1.0658064516129033,-0.16,,,,
41,1841,0.7841935483870968,-0.16,,,,
42,1842,-0.4158064516129033,-0.16,,,,
43,1843,1.0241935483870968,-0.14,,,,
44,1844,-0.9358064516129032,-0.11,,,,
45,1845,-0.5958064516129034,-0.07,,,,
46,1846,0.6341935483870967,-0.03,,,,
47,1847,-0.2758064516129033,-0.0,,,,
48,1848,0.8741935483870967,0.01,,,,
49,1849,-0.5258064516129033,0.01,,,,
50,1850,-0.08580645161290323,0.01,,,,
51,1851,0.7041935483870967,0.02,,,,
52,1852,-0.1458064516129033,0.04,,,,
53,1853,0.07419354838709674,0.05,,,,
54,1854,0.25419354838709673,0.06,,,,
55,1855,-0.8258064516129033,0.05,,,,
56,1856,-0.2758064516129033,0.04,,,,
57,1857,0.5141935483870967,0.03,,,,
58,1858,-0.1858064516129032,0.02,,,,
59,1859,1.2741935483870968,0.01,,,,
60,1860,0.18419354838709673,0.01,,,,
61,1861,-0.1658064516129033,0.02,,,,
62,1862,-1.4058064516129032,0.03,,,,
63,1863,1.5341935483870968,0.03,,,,
64,1864,-0.8958064516129032,0.02,,,,
65,1865,-0.2758064516129033,0.01,,,,
66,1866,0.9341935483870967,0.01,,,,
67,1867,-0.9758064516129032,0.02,,,,
68,1868,0.7141935483870967,0.03,,,,
69,1869,1.0341935483870968,0.03,,,,
70,1870,-1.1858064516129032,0.03,,,,
71,1871,-1.5358064516129033,0.02,,,,
72,1872,1.4741935483870967,0.01,,,,
73,1873,0.8641935483870967,-0.0,,,,
74,1874,0.41419354838709677,-0.02,,,,
75,1875,-1.7258064516129032,-0.03,,,,
76,1876,-0.45580645161290323,-0.03,,,,
77,1877,-0.4058064516129033,-0.03,,,,
78,1878,1.0141935483870967,-0.03,,,,
79,1879,-0.37580645161290327,-0.02,,,,
80,1880,-0.06580645161290322,-0.01,,,,
81,1881,-1.0358064516129033,-0.01,,,,
82,1882,1.1641935483870967,0.0,,,,
83,1883,-0.06580645161290322,0.02,,,,
84,1884,0.17419354838709672,0.04,,,,
85,1885,0.38419354838709674,0.05,,,,
86,1886,0.08419354838709675,0.05,,,,
87,1887,0.3341935483870967,0.05,,,,
88,1888,-1.3158064516129033,0.05,,,,
89,1889,0.044193548387096715,0.05,,,,
90,1890,0.5541935483870968,0.06,,,,
91,1891,0.31419354838709673,0.07,,,,
92,1892,-0.1458064516129033,0.1,,,,
93,1893,-0.9858064516129033,0.14,,,,
94,1894,0.27419354838709675,0.18,,,,
95,1895,-0.08580645161290323,0.22,,,,
96,1896,0.3341935483870967,0.25,,,,
97,1897,0.9541935483870967,0.28,,,,
98,1898,0.6741935483870968,0.32,,,,
99,1899,0.43419354838709673,0.35,,,,
100,1900,0.32419354838709674,0.37,,,,
101,1901,0.8041935483870968,0.37,,,,
102,1902,-1.1058064516129034,0.36,,,,
103,1903,1.3541935483870966,0.33,,,,
