Benin,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,-0.322,-0.31,,,,
50,1850,-0.37200000000000005,-0.3,,,,
51,1851,-0.1820000000000001,-0.29,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,-0.022000000000000075,-0.11,,,,
75,1875,-0.332,-0.09,,,,
76,1876,-0.24200000000000005,-0.06,,,,
77,1877,0.22799999999999995,-0.04,,,,
78,1878,0.35799999999999993,-0.01,,,,
79,1879,-0.2920000000000001,0.01,,,,
80,1880,-0.062000000000000055,0.03,,,,
81,1881,0.31799999999999995,0.05,,,,
82,1882,-0.09200000000000003,0.07,,,,
83,1883,0.2779999999999999,0.09,,,,
84,1884,,,,,,
85,1885,,,,,,
86,1886,0.43799999999999994,0.08,,,,
87,1887,-0.1620000000000001,0.09,,,,
88,1888,0.17799999999999994,0.1,,,,
89,1889,-0.0020000000000000573,0.1,,,,
90,1890,-0.5920000000000001,0.1,,,,
91,1891,-0.03200000000000003,0.09,,,,
92,1892,0.14799999999999994,0.08,,,,
93,1893,0.39799999999999996,0.08,,,,
94,1894,0.20799999999999993,0.08,,,,
95,1895,0.598,0.08,,,,
96,1896,-0.332,0.08,,,,
97,1897,-0.052000000000000046,0.06,,,,
98,1898,-0.24200000000000005,0.01,,,,
99,1899,0.35799999999999993,-0.05,,,,
100,1900,0.08799999999999997,-0.12,,,,
101,1901,0.10799999999999993,-0.17,,,,
102,1902,-0.1820000000000001,-0.21,,,,
103,1903,-0.6920000000000002,-0.24,,,,
104,1904,-0.8520000000000001,-0.28,,,,
105,1905,-0.542,-0.32,,,,
106,1906,-0.12200000000000005,-0.35,,,,
107,1907,-0.542,-0.36,,,,
108,1908,-0.2720000000000001,-0.32,,,,
109,1909,-0.332,-0.26,,,,
110,1910,-0.192,-0.18,,,,
111,1911,-0.752,-0.11,,,,
112,1912,-0.25200000000000006,-0.05,,,,
113,1913,0.29799999999999993,-0.0,,,,
114,1914,0.608,0.04,,,,
115,1915,0.39799999999999996,0.08,,,,
116,1916,-0.09200000000000003,0.13,,,,
117,1917,0.5279999999999999,0.17,,,,
118,1918,-0.1720000000000001,0.2,,,,
119,1919,0.12799999999999995,0.21,,,,
120,1920,-0.052000000000000046,0.23,,,,
121,1921,0.348,0.24,,,,
122,1922,0.348,0.27,,,,
123,1923,0.348,0.29,,,,
124,1924,0.518,0.31,,,,
125,1925,0.16799999999999995,0.34,,,,
126,1926,0.6679999999999999,0.36,,,,
127,1927,0.2879999999999999,0.37,,,,
128,1928,0.24799999999999994,0.37,,,,
129,1929,-0.012000000000000066,0.36,,,,
130,1930,0.698,0.35,,,,
131,1931,0.748,0.35,,,,
132,1932,0.13799999999999996,0.35,,,,
133,1933,0.38799999999999996,0.37,,,,
134,1934,0.20799999999999993,0.39,,,,
135,1935,0.31799999999999995,0.41,,,,
136,1936,0.19799999999999995,0.44,,,,
137,1937,0.6379999999999999,0.47,,,,
138,1938,0.6379999999999999,0.51,,,,
139,1939,0.25799999999999995,0.54,,,,
140,1940,0.718,0.57,,,,
141,1941,1.208,0.59,,,,
142,1942,0.8679999999999999,0.59,,,,
143,1943,0.348,0.59,,,,
144,1944,0.698,0.58,,,,
145,1945,0.5579999999999999,0.56,,,,
146,1946,0.36799999999999994,0.53,,,,
