Burundi,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,,,,,,
76,1876,,,,,,
77,1877,,,,,,
78,1878,,,,,,
79,1879,,,,,,
80,1880,,,,,,
81,1881,,,,,,
82,1882,0.08000000000000002,-0.07,,,,
83,1883,5.551115123125783e-17,-0.06,,,,
84,1884,-0.2,-0.04,,,,
85,1885,0.030000000000000027,-0.03,,,,
86,1886,-0.009999999999999953,-0.02,,,,
87,1887,-0.16999999999999998,-0.0,,,,
88,1888,,,,,,
89,1889,0.43000000000000005,0.03,,,,
90,1890,-0.15999999999999998,0.04,,,,
91,1891,-0.07,0.06,,,,
92,1892,0.08000000000000002,0.08,,,,
93,1893,-0.24999999999999994,0.11,,,,
94,1894,0.27,0.15,,,,
95,1895,0.22000000000000003,0.2,,,,
96,1896,0.17000000000000004,0.25,,,,
97,1897,0.22000000000000003,0.29,,,,
98,1898,0.31000000000000005,0.31,,,,
99,1899,0.45,0.33,,,,
100,1900,0.74,0.33,,,,
101,1901,0.75,0.32,,,,
102,1902,0.5700000000000001,0.3,,,,
103,1903,0.5700000000000001,0.27,,,,
104,1904,-0.21000000000000002,0.24,,,,
105,1905,0.35000000000000003,0.22,,,,
106,1906,0.020000000000000018,0.19,,,,
107,1907,0.08000000000000002,0.15,,,,
108,1908,-0.11999999999999994,0.13,,,,
109,1909,-0.18,0.11,,,,
110,1910,-0.12999999999999995,0.11,,,,
111,1911,-0.09000000000000002,0.11,,,,
112,1912,0.23000000000000004,0.12,,,,
113,1913,0.23000000000000004,0.14,,,,
114,1914,0.37,0.16,,,,
115,1915,0.64,0.19,,,,
116,1916,0.22000000000000003,0.22,,,,
117,1917,0.040000000000000036,0.24,,,,
118,1918,0.17000000000000004,0.27,,,,
119,1919,0.35000000000000003,0.28,,,,
120,1920,0.14,0.3,,,,
121,1921,0.45,0.31,,,,
122,1922,0.43000000000000005,0.32,,,,
123,1923,0.17000000000000004,0.34,,,,
124,1924,0.47000000000000003,0.35,,,,
125,1925,0.35000000000000003,0.37,,,,
126,1926,0.18000000000000005,0.37,,,,
127,1927,0.5800000000000001,0.37,,,,
128,1928,0.64,0.37,,,,
129,1929,0.38,0.37,,,,
130,1930,0.18000000000000005,0.37,,,,
131,1931,0.68,0.38,,,,
132,1932,0.31000000000000005,0.38,,,,
133,1933,0.23000000000000004,0.38,,,,
134,1934,0.24000000000000002,0.38,,,,
135,1935,0.27,0.39,,,,
136,1936,0.55,0.39,,,,
137,1937,0.39,0.4,,,,
138,1938,0.4,0.41,,,,
139,1939,0.34,0.42,,,,
140,1940,0.5700000000000001,0.43,,,,
141,1941,0.97,0.44,,,,
142,1942,0.43000000000000005,0.45,,,,
143,1943,0.44000000000000006,0.45,,,,
144,1944,0.48000000000000004,0.45,,,,
145,1945,0.4,0.45,,,,
146,1946,0.49000000000000005,0.45,,,,
147,1947,0.37,0.45,,,,
148,1948,0.42000000000000004,0.45,,,,
149,1949,0.6100000000000001,0.44,,,,
150,1950,0.29000000000000004,0.44,,,,
151,1951,0.34,0.43,,,,
152,1952,0.6100000000000001,0.44,,,,
153,1953,0.5900000000000001,0.44,,,,
