Canada,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.2538709677419355,0.36,,,,
1,1801,0.3561290322580645,0.25,,,,
2,1802,0.36612903225806454,0.14,,,,
3,1803,0.11612903225806454,0.03,,,,
4,1804,-0.01387096774193547,-0.08,,,,
5,1805,0.3461290322580645,-0.18,,,,
6,1806,-0.2338709677419355,-0.29,,,,
7,1807,-0.41387096774193544,-0.39,,,,
8,1808,-0.5738709677419355,-0.49,,,,
9,1809,-0.9138709677419355,-0.6,,,,
10,1810,-0.9638709677419354,-0.7,,,,
11,1811,-1.3338709677419356,-0.78,,,,
12,1812,-1.3338709677419356,-0.84,,,,
13,1813,-0.45387096774193547,-0.88,,,,
14,1814,-0.3938709677419354,-0.9,,,,
15,1815,-1.1638709677419357,-0.9,,,,
16,1816,-1.8338709677419351,-0.89,,,,
17,1817,-1.2438709677419353,-0.85,,,,
18,1818,-0.4738709677419355,-0.8,,,,
19,1819,-0.8038709677419354,-0.74,,,,
20,1820,-0.6938709677419356,-0.65,,,,
21,1821,-0.4938709677419355,-0.56,,,,
22,1822,-0.7738709677419354,-0.46,,,,
23,1823,-1.0338709677419353,-0.36,,,,
24,1824,-0.2238709677419355,-0.26,,,,
25,1825,0.23612903225806453,-0.18,,,,
26,1826,0.10612903225806453,-0.12,,,,
27,1827,0.6461290322580645,-0.07,,,,
28,1828,0.29612903225806453,-0.04,,,,
29,1829,-0.17387096774193544,-0.03,,,,
30,1830,0.8461290322580646,-0.05,,,,
31,1831,0.17612903225806453,-0.08,,,,
32,1832,-0.6638709677419355,-0.12,,,,
33,1833,0.12612903225806454,-0.17,,,,
34,1834,-0.04387096774193544,-0.22,,,,
35,1835,-0.7638709677419354,-0.26,,,,
36,1836,-0.8138709677419355,-0.29,,,,
37,1837,-0.9138709677419355,-0.33,,,,
38,1838,-0.6638709677419355,-0.36,,,,
39,1839,0.33612903225806456,-0.37,,,,
40,1840,-0.1038709677419355,-0.36,,,,
41,1841,-0.2438709677419355,-0.35,,,,
42,1842,-0.08387096774193548,-0.32,,,,
43,1843,-0.6238709677419355,-0.28,,,,
