Congo (Kinshasa),year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,-0.14933333333333326,-0.14,,,,
76,1876,,,,,,
77,1877,0.43066666666666675,-0.12,,,,
78,1878,0.5606666666666668,-0.11,,,,
79,1879,-0.3393333333333332,-0.1,,,,
80,1880,-0.4693333333333332,-0.09,,,,
81,1881,-0.1993333333333332,-0.08,,,,
82,1882,0.06066666666666676,-0.07,,,,
83,1883,0.05066666666666675,-0.07,,,,
84,1884,-0.16933333333333328,-0.06,,,,
85,1885,0.13066666666666676,-0.05,,,,
86,1886,0.09066666666666673,-0.04,,,,
87,1887,-0.2193333333333332,-0.02,,,,
88,1888,0.03066666666666673,-0.0,,,,
89,1889,0.49066666666666675,0.02,,,,
90,1890,-0.2993333333333333,0.03,,,,
91,1891,-0.14933333333333326,0.05,,,,
92,1892,0.03066666666666673,0.08,,,,
93,1893,-0.029333333333333267,0.11,,,,
94,1894,0.25066666666666676,0.15,,,,
95,1895,0.21066666666666672,0.2,,,,
96,1896,0.17066666666666674,0.24,,,,
97,1897,0.32066666666666677,0.28,,,,
98,1898,0.19066666666666676,0.31,,,,
99,1899,0.6106666666666667,0.33,,,,
100,1900,0.6606666666666667,0.33,,,,
101,1901,0.7206666666666668,0.32,,,,
102,1902,0.4606666666666668,0.31,,,,
103,1903,0.3406666666666668,0.29,,,,
104,1904,-0.38933333333333325,0.27,,,,
105,1905,0.3306666666666668,0.25,,,,
106,1906,-0.019333333333333258,0.23,,,,
107,1907,0.08066666666666678,0.22,,,,
108,1908,0.05066666666666675,0.22,,,,
109,1909,0.07066666666666677,0.22,,,,
110,1910,0.010666666666666769,0.23,,,,
111,1911,-0.22933333333333322,0.24,,,,
112,1912,0.5906666666666668,0.25,,,,
113,1913,0.4606666666666668,0.27,,,,
114,1914,0.6706666666666667,0.29,,,,
115,1915,0.6706666666666667,0.31,,,,
116,1916,0.3306666666666668,0.33,,,,
117,1917,0.2606666666666667,0.35,,,,
118,1918,0.03066666666666673,0.36,,,,
119,1919,0.37066666666666676,0.36,,,,
120,1920,0.24066666666666675,0.36,,,,
121,1921,0.42066666666666674,0.36,,,,
122,1922,0.36066666666666675,0.37,,,,
123,1923,0.30066666666666675,0.38,,,,
124,1924,0.5706666666666668,0.39,,,,
125,1925,0.2706666666666667,0.41,,,,
126,1926,0.3906666666666667,0.43,,,,
127,1927,0.5806666666666668,0.44,,,,
128,1928,0.6706666666666667,0.44,,,,
129,1929,0.3306666666666668,0.45,,,,
130,1930,0.28066666666666673,0.45,,,,
131,1931,0.8606666666666667,0.46,,,,
132,1932,0.48066666666666674,0.46,,,,
133,1933,0.38066666666666676,0.46,,,,
134,1934,0.42066666666666674,0.47,,,,
135,1935,0.44066666666666676,0.47,,,,
136,1936,0.4606666666666668,0.48,,,,
137,1937,0.45066666666666677,0.49,,,,
138,1938,0.5506666666666667,0.5,,,,
139,1939,0.3406666666666668,0.51,,,,
140,1940,0.5306666666666667,0.52,,,,
141,1941,0.8406666666666667,0.53,,,,
142,1942,0.5806666666666668,0.53,,,,
143,1943,0.45066666666666677,0.54,,,,
144,1944,0.5706666666666668,0.54,,,,
