Cyprus,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.15903225806451599,0.52,,,,
1,1801,0.540967741935484,0.4,,,,
2,1802,0.500967741935484,0.28,,,,
3,1803,,,,,,
4,1804,0.12096774193548401,0.04,,,,
5,1805,-0.05903225806451601,-0.07,,,,
6,1806,0.140967741935484,-0.19,,,,
7,1807,0.040967741935484026,-0.3,,,,
8,1808,,,,,,
9,1809,-1.169032258064516,-0.52,,,,
10,1810,-0.9990322580645161,-0.64,,,,
11,1811,-1.169032258064516,-0.73,,,,
12,1812,-1.149032258064516,-0.81,,,,
13,1813,-0.9990322580645161,-0.86,,,,
14,1814,-0.639032258064516,-0.89,,,,
15,1815,-0.9790322580645161,-0.89,,,,
16,1816,-1.349032258064516,-0.85,,,,
17,1817,-1.059032258064516,-0.8,,,,
18,1818,-0.279032258064516,-0.74,,,,
19,1819,-0.7690322580645161,-0.68,,,,
20,1820,-0.569032258064516,-0.62,,,,
21,1821,-0.49903225806451595,-0.56,,,,
22,1822,-0.7690322580645161,-0.5,,,,
23,1823,-0.289032258064516,-0.46,,,,
24,1824,0.350967741935484,-0.43,,,,
25,1825,-0.5190322580645159,-0.42,,,,
26,1826,-0.429032258064516,-0.42,,,,
27,1827,0.460967741935484,-0.43,,,,
28,1828,-0.45903225806451603,-0.45,,,,
29,1829,-0.5290322580645159,-0.49,,,,
30,1830,-0.189032258064516,-0.53,,,,
31,1831,-0.7490322580645161,-0.59,,,,
32,1832,-1.569032258064516,-0.64,,,,
33,1833,-0.5390322580645159,-0.7,,,,
34,1834,-0.629032258064516,-0.75,,,,
35,1835,-1.0190322580645161,-0.78,,,,
36,1836,-0.6790322580645161,-0.79,,,,
37,1837,-1.079032258064516,-0.79,,,,
38,1838,-1.149032258064516,-0.77,,,,
39,1839,-0.859032258064516,-0.73,,,,
40,1840,-0.819032258064516,-0.68,,,,
41,1841,-0.419032258064516,-0.62,,,,
42,1842,-0.5190322580645159,-0.54,,,,
43,1843,-0.49903225806451595,-0.46,,,,
44,1844,-0.619032258064516,-0.39,,,,
45,1845,-0.33903225806451603,-0.32,,,,
46,1846,0.350967741935484,-0.26,,,,
47,1847,0.09096774193548401,-0.2,,,,
48,1848,-0.009032258064516019,-0.16,,,,
49,1849,-0.19903225806451602,-0.13,,,,
50,1850,-0.6990322580645161,-0.11,,,,
51,1851,0.160967741935484,-0.12,,,,
52,1852,-0.08903225806451598,-0.13,,,,
53,1853,0.580967741935484,-0.14,,,,
54,1854,-0.439032258064516,-0.15,,,,
55,1855,0.09096774193548401,-0.16,,,,
56,1856,-0.419032258064516,-0.16,,,,
57,1857,-0.7790322580645161,-0.16,,,,
58,1858,-0.189032258064516,-0.15,,,,
59,1859,-0.02903225806451598,-0.14,,,,
60,1860,0.440967741935484,-0.11,,,,
61,1861,-0.45903225806451603,-0.07,,,,
62,1862,-0.35903225806451594,-0.02,,,,
63,1863,-0.169032258064516,0.02,,,,
64,1864,0.360967741935484,0.05,,,,
65,1865,0.470967741935484,0.08,,,,
66,1866,0.320967741935484,0.1,,,,
67,1867,0.12096774193548401,0.12,,,,
68,1868,-0.14903225806451598,0.14,,,,
69,1869,0.470967741935484,0.15,,,,
70,1870,0.110967741935484,0.15,,,,
71,1871,-0.319032258064516,0.16,,,,
72,1872,0.310967741935484,0.17,,,,
73,1873,0.480967741935484,0.18,,,,
74,1874,-0.319032258064516,0.18,,,,
75,1875,-0.9890322580645161,0.17,,,,
76,1876,0.360967741935484,0.13,,,,
77,1877,0.490967741935484,0.09,,,,
78,1878,0.450967741935484,0.04,,,,
79,1879,0.770967741935484,0.0,,,,
80,1880,-0.589032258064516,-0.03,,,,
81,1881,-0.02903225806451598,-0.07,,,,
82,1882,-0.9590322580645161,-0.11,,,,
83,1883,-0.409032258064516,-0.15,,,,
84,1884,-0.899032258064516,-0.19,,,,
85,1885,0.240967741935484,-0.22,,,,
86,1886,-0.24903225806451595,-0.22,,,,
87,1887,-0.14903225806451598,-0.21,,,,
88,1888,-0.25903225806451596,-0.2,,,,
89,1889,0.05096774193548398,-0.19,,,,
90,1890,-0.14903225806451598,-0.19,,,,
91,1891,-0.119032258064516,-0.2,,,,
92,1892,0.09096774193548401,-0.2,,,,
93,1893,-0.449032258064516,-0.2,,,,
94,1894,-0.589032258064516,-0.19,,,,
95,1895,-0.22903225806451605,-0.17,,,,
96,1896,-0.19903225806451602,-0.15,,,,
97,1897,-0.559032258064516,-0.13,,,,
98,1898,-0.009032258064516019,-0.12,,,,
99,1899,-0.02903225806451598,-0.12,,,,
100,1900,0.330967741935484,-0.12,,,,
101,1901,0.740967741935484,-0.13,,,,
102,1902,0.260967741935484,-0.15,,,,
103,1903,-0.34903225806451604,-0.17,,,,
104,1904,-0.34903225806451604,-0.2,,,,
105,1905,-0.34903225806451604,-0.24,,,,
106,1906,-0.21903225806451604,-0.29,,,,
107,1907,-0.7490322580645161,-0.34,,,,
108,1908,-0.7790322580645161,-0.37,,,,
109,1909,0.440967741935484,-0.37,,,,
110,1910,-0.429032258064516,-0.35,,,,
111,1911,-0.559032258064516,-0.3,,,,
112,1912,-0.33903225806451603,-0.26,,,,
113,1913,-0.639032258064516,-0.21,,,,
114,1914,-0.299032258064516,-0.17,,,,
115,1915,0.450967741935484,-0.13,,,,
116,1916,0.440967741935484,-0.1,,,,
117,1917,0.180967741935484,-0.05,,,,
118,1918,-0.03903225806451599,-0.0,,,,
119,1919,0.080967741935484,0.04,,,,
120,1920,-0.599032258064516,0.08,,,,
121,1921,-0.559032258064516,0.11,,,,
122,1922,0.30096774193548403,0.13,,,,
123,1923,0.410967741935484,0.15,,,,
124,1924,0.280967741935484,0.18,,,,
125,1925,0.05096774193548398,0.21,,,,
126,1926,0.250967741935484,0.24,,,,
127,1927,0.620967741935484,0.26,,,,
128,1928,0.540967741935484,0.28,,,,
129,1929,-0.09903225806451599,0.29,,,,
130,1930,0.470967741935484,0.31,,,,
131,1931,0.290967741935484,0.33,,,,
132,1932,0.170967741935484,0.34,,,,
133,1933,-0.5190322580645159,0.35,,,,
134,1934,0.400967741935484,0.36,,,,
135,1935,0.670967741935484,0.36,,,,
136,1936,0.530967741935484,0.37,,,,
137,1937,0.670967741935484,0.38,,,,
138,1938,0.00096774193548399,0.38,,,,
139,1939,0.580967741935484,0.37,,,,
140,1940,0.320967741935484,0.36,,,,
141,1941,0.620967741935484,0.34,,,,
142,1942,0.200967741935484,0.31,,,,
143,1943,0.110967741935484,0.28,,,,
144,1944,0.190967741935484,0.25,,,,
145,1945,-0.009032258064516019,0.23,,,,
146,1946,0.610967741935484,0.22,,,,
147,1947,1.140967741935484,0.22,,,,
148,1948,-0.299032258064516,0.22,,,,
149,1949,-0.5090322580645159,0.23,,,,
150,1950,0.110967741935484,0.25,,,,
151,1951,0.610967741935484,0.26,,,,
152,1952,0.5709677419354839,0.28,,,,
153,1953,-0.429032258064516,0.3,,,,
154,1954,0.360967741935484,0.32,,,,
155,1955,0.910967741935484,0.36,,,,
156,1956,0.12096774193548401,0.41,,,,
157,1957,0.360967741935484,0.44,,,,
158,1958,0.630967741935484,0.45,,,,
159,1959,-0.309032258064516,0.46,,,,
160,1960,1.150967741935484,0.46,,,,
161,1961,0.320967741935484,0.45,,,,
162,1962,1.080967741935484,0.44,,,,
163,1963,0.8009677419354839,0.44,,,,
164,1964,-0.13903225806451597,0.43,,,,
165,1965,0.150967741935484,0.41,,,,
166,1966,0.830967741935484,0.38,,,,
167,1967,-0.38903225806451597,0.34,,,,
168,1968,0.390967741935484,0.3,,,,
169,1969,0.400967741935484,0.27,,,,
170,1970,0.440967741935484,0.24,,,,
171,1971,0.180967741935484,0.23,,,,
172,1972,-0.06903225806451602,0.22,,,,
173,1973,0.270967741935484,0.22,,,,
174,1974,0.12096774193548401,0.22,,,,
175,1975,0.170967741935484,0.22,,,,
176,1976,-0.109032258064516,0.21,,,,
177,1977,0.330967741935484,0.19,,,,
178,1978,0.440967741935484,0.18,,,,
179,1979,0.750967741935484,0.18,,,,
180,1980,0.030967741935484017,0.19,,,,
181,1981,0.410967741935484,0.19,,,,
182,1982,-0.23903225806451595,0.19,,,,
183,1983,-0.34903225806451604,0.19,,,,
184,1984,0.100967741935484,0.19,,,,
185,1985,0.360967741935484,0.18,,,,
186,1986,0.42096774193548403,0.18,,,,
187,1987,0.06096774193548399,0.2,,,,
188,1988,0.310967741935484,0.22,,,,
189,1989,0.230967741935484,0.25,,,,
190,1990,0.380967741935484,0.28,,,,
191,1991,0.230967741935484,0.31,,,,
192,1992,-0.7290322580645161,0.35,,,,
193,1993,0.100967741935484,0.4,,,,
194,1994,0.930967741935484,0.45,,,,
195,1995,0.210967741935484,0.51,,,,
196,1996,0.610967741935484,0.57,,,,
197,1997,0.06096774193548399,0.63,,,,
198,1998,1.120967741935484,0.69,,,,
199,1999,1.280967741935484,0.74,,,,
200,2000,0.670967741935484,0.78,,,,
201,2001,1.100967741935484,0.82,,,,
202,2002,0.900967741935484,0.86,,,,
203,2003,0.890967741935484,0.91,,,,
204,2004,0.680967741935484,0.95,,,,
205,2005,0.680967741935484,0.99,1.1,1.1,1.14,1.11
206,2006,0.7109677419354841,1.03,1.14,1.14,1.17,1.14
207,2007,1.160967741935484,1.07,1.18,1.18,1.2,1.18
208,2008,1.350967741935484,1.11,1.21,1.21,1.24,1.21
209,2009,1.330967741935484,1.16,1.25,1.25,1.27,1.25
210,2010,2.1509677419354842,1.22,1.29,1.28,1.3,1.28
211,2011,0.850967741935484,1.29,1.33,1.32,1.33,1.32
212,2012,1.310967741935484,1.34,1.36,1.36,1.37,1.36
213,2013,1.360967741935484,1.4,1.4,1.39,1.4,1.39
214,2014,1.560967741935484,1.46,1.44,1.43,1.43,1.43
215,2015,1.300967741935484,1.51,1.47,1.46,1.45,1.46
216,2016,1.660967741935484,1.56,1.49,1.49,1.48,1.49
217,2017,1.290967741935484,1.62,1.52,1.53,1.5,1.52
218,2018,2.300967741935484,1.67,1.55,1.56,1.53,1.56
219,2019,1.600967741935484,1.73,1.59,1.6,1.55,1.6
220,2020,1.800967741935484,1.78,1.62,1.63,1.58,1.64
221,2021,,,1.65,1.66,1.61,1.67
222,2022,,,1.68,1.69,1.64,1.71
223,2023,,,1.71,1.72,1.66,1.74
224,2024,,,1.74,1.74,1.69,1.77
225,2025,,,1.77,1.76,1.72,1.81
226,2026,,,1.79,1.78,1.75,1.84
227,2027,,,1.82,1.8,1.78,1.88
228,2028,,,1.84,1.82,1.81,1.91
229,2029,,,1.86,1.83,1.84,1.95
230,2030,,,1.87,1.85,1.87,1.97
231,2031,,,1.89,1.87,1.9,2.0
232,2032,,,1.9,1.89,1.94,2.03
233,2033,,,1.92,1.91,1.97,2.06
234,2034,,,1.93,1.94,1.99,2.1
235,2035,,,1.94,1.96,2.02,2.13
236,2036,,,1.95,1.99,2.05,2.16
237,2037,,,1.97,2.01,2.08,2.19
238,2038,,,1.98,2.04,2.11,2.22
239,2039,,,2.0,2.06,2.13,2.26
240,2040,,,2.01,2.09,2.15,2.3
241,2041,,,2.03,2.11,2.18,2.34
242,2042,,,2.05,2.14,2.21,2.38
243,2043,,,2.07,2.16,2.24,2.42
244,2044,,,2.08,2.18,2.28,2.47
245,2045,,,2.1,2.2,2.31,2.51
246,2046,,,2.12,2.22,2.35,2.55
247,2047,,,2.14,2.25,2.39,2.6
248,2048,,,2.15,2.28,2.43,2.64
249,2049,,,2.16,2.3,2.47,2.69
250,2050,,,2.17,2.32,2.51,2.73
251,2051,,,2.18,2.35,2.54,2.78
252,2052,,,2.18,2.37,2.58,2.82
253,2053,,,2.18,2.38,2.61,2.87
254,2054,,,2.18,2.4,2.63,2.91
255,2055,,,2.19,2.42,2.66,2.96
256,2056,,,2.19,2.44,2.69,3.0
257,2057,,,2.19,2.46,2.72,3.05
258,2058,,,2.19,2.47,2.75,3.09
259,2059,,,2.19,2.49,2.78,3.13
260,2060,,,2.19,2.51,2.81,3.17
261,2061,,,2.19,2.52,2.84,3.22
262,2062,,,2.18,2.54,2.88,3.26
263,2063,,,2.18,2.56,2.91,3.31
264,2064,,,2.19,2.58,2.95,3.36
265,2065,,,2.19,2.61,2.98,3.4
266,2066,,,2.19,2.63,3.02,3.45
267,2067,,,2.18,2.64,3.05,3.5
268,2068,,,2.18,2.66,3.09,3.55
269,2069,,,2.18,2.68,3.12,3.59
270,2070,,,2.17,2.69,3.15,3.64
271,2071,,,2.17,2.7,3.18,3.68
272,2072,,,2.17,2.72,3.22,3.72
273,2073,,,2.17,2.73,3.25,3.76
274,2074,,,2.16,2.75,3.28,3.81
275,2075,,,2.16,2.76,3.32,3.85
276,2076,,,2.15,2.77,3.35,3.9
277,2077,,,2.14,2.79,3.39,3.95
278,2078,,,2.13,2.8,3.43,4.0
279,2079,,,2.13,2.81,3.47,4.05
280,2080,,,2.13,2.83,3.51,4.1
281,2081,,,2.12,2.84,3.54,4.16
282,2082,,,2.12,2.85,3.58,4.21
283,2083,,,2.12,2.86,3.62,4.27
284,2084,,,2.12,2.88,3.66,4.33
285,2085,,,2.11,2.89,3.71,4.38
286,2086,,,2.11,2.9,3.75,4.43
287,2087,,,2.11,2.91,3.79,4.48
288,2088,,,2.11,2.92,3.83,4.54
289,2089,,,2.11,2.93,3.87,4.59
290,2090,,,2.1,2.95,3.91,4.65
291,2091,,,2.09,2.96,3.95,4.7
292,2092,,,2.08,2.97,3.99,4.76
293,2093,,,2.08,2.98,4.04,4.82
294,2094,,,2.07,2.98,4.08,4.87
295,2095,,,2.07,2.99,4.12,4.93
296,2096,,,2.07,3.0,4.16,4.99
297,2097,,,2.06,3.0,4.2,5.04
298,2098,,,2.06,3.01,4.24,5.1
299,2099,,,2.05,3.01,4.28,5.15
300,2100,,,2.05,3.02,4.33,5.22
