Djibouti,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,,,,,,
76,1876,,,,,,
77,1877,,,,,,
78,1878,,,,,,
79,1879,,,,,,
80,1880,,,,,,
81,1881,0.5211111111111111,-0.01,,,,
82,1882,0.0011111111111111183,-0.01,,,,
83,1883,-0.11888888888888885,-0.01,,,,
84,1884,-0.25888888888888884,-0.01,,,,
85,1885,,,,,,
86,1886,0.16111111111111112,-0.01,,,,
87,1887,-0.29888888888888887,-0.01,,,,
88,1888,0.1811111111111111,-0.01,,,,
89,1889,0.031111111111111117,-0.01,,,,
90,1890,-0.21888888888888888,-0.0,,,,
91,1891,0.08111111111111113,0.01,,,,
92,1892,-0.1088888888888889,0.02,,,,
93,1893,-0.03888888888888889,0.03,,,,
94,1894,0.10111111111111112,0.04,,,,
95,1895,0.14111111111111113,0.06,,,,
96,1896,0.21111111111111114,0.07,,,,
97,1897,-0.018888888888888872,0.08,,,,
98,1898,0.09111111111111111,0.1,,,,
99,1899,-0.03888888888888889,0.11,,,,
100,1900,0.20111111111111113,0.11,,,,
101,1901,0.27111111111111114,0.1,,,,
102,1902,0.3011111111111111,0.1,,,,
103,1903,-0.05888888888888885,0.09,,,,
104,1904,0.061111111111111116,0.08,,,,
105,1905,0.20111111111111113,0.07,,,,
106,1906,0.27111111111111114,0.05,,,,
107,1907,-0.25888888888888884,0.03,,,,
108,1908,-0.19888888888888887,0.01,,,,
109,1909,-0.03888888888888889,-0.01,,,,
110,1910,0.2511111111111111,-0.04,,,,
111,1911,0.1811111111111111,-0.07,,,,
112,1912,-0.3388888888888888,-0.09,,,,
113,1913,-0.3288888888888889,-0.1,,,,
114,1914,0.19111111111111112,-0.1,,,,
115,1915,0.8911111111111112,-0.09,,,,
116,1916,-0.23888888888888885,-0.08,,,,
117,1917,-0.3188888888888889,-0.08,,,,
118,1918,-0.4388888888888889,-0.06,,,,
119,1919,0.7311111111111112,-0.05,,,,
120,1920,0.47111111111111115,-0.02,,,,
121,1921,0.07111111111111112,0.01,,,,
122,1922,-0.24888888888888885,0.05,,,,
123,1923,-0.05888888888888885,0.09,,,,
124,1924,0.37111111111111117,0.12,,,,
125,1925,0.13111111111111112,0.16,,,,
126,1926,0.45111111111111113,0.18,,,,
127,1927,0.14111111111111113,0.19,,,,
128,1928,0.2511111111111111,0.2,,,,
129,1929,0.28111111111111114,0.21,,,,
130,1930,0.2511111111111111,0.21,,,,
131,1931,0.3811111111111111,0.2,,,,
132,1932,-0.1688888888888889,0.2,,,,
133,1933,0.3111111111111111,0.2,,,,
134,1934,0.07111111111111112,0.2,,,,
135,1935,0.3011111111111111,0.21,,,,
136,1936,0.09111111111111111,0.23,,,,
137,1937,0.011111111111111127,0.25,,,,
138,1938,0.09111111111111111,0.27,,,,
139,1939,0.24111111111111114,0.29,,,,
140,1940,0.40111111111111114,0.31,,,,
141,1941,0.7811111111111112,0.33,,,,
142,1942,0.5811111111111111,0.34,,,,
143,1943,0.24111111111111114,0.36,,,,
144,1944,0.5611111111111111,0.36,,,,
145,1945,0.5111111111111112,0.36,,,,
146,1946,0.12111111111111113,0.35,,,,
