Dominican Republic,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,0.24645161290322581,0.31,,,,
25,1825,0.04645161290322586,0.24,,,,
26,1826,0.18645161290322582,0.17,,,,
27,1827,0.4864516129032258,0.1,,,,
28,1828,0.2564516129032258,0.03,,,,
29,1829,-0.18354838709677412,-0.04,,,,
30,1830,0.28645161290322585,-0.11,,,,
31,1831,-0.3735483870967742,-0.17,,,,
32,1832,-0.7035483870967741,-0.24,,,,
33,1833,-0.2635483870967742,-0.3,,,,
34,1834,-0.2835483870967742,-0.38,,,,
35,1835,-0.9335483870967741,-0.42,,,,
36,1836,,,,,,
37,1837,-0.9035483870967741,-0.49,,,,
38,1838,-0.6535483870967741,-0.51,,,,
39,1839,-0.47354838709677416,-0.51,,,,
40,1840,-0.4335483870967741,-0.5,,,,
41,1841,-0.8235483870967742,-0.48,,,,
42,1842,-0.32354838709677414,-0.45,,,,
43,1843,-0.20354838709677414,-0.41,,,,
44,1844,-0.9235483870967741,-0.36,,,,
45,1845,-0.7335483870967742,-0.32,,,,
46,1846,0.08645161290322584,-0.28,,,,
47,1847,-0.19354838709677413,-0.24,,,,
48,1848,-0.19354838709677413,-0.21,,,,
49,1849,-0.07354838709677414,-0.17,,,,
50,1850,-0.09354838709677415,-0.14,,,,
51,1851,-0.023548387096774204,-0.13,,,,
52,1852,-0.2935483870967742,-0.13,,,,
53,1853,0.016451612903225832,-0.14,,,,
54,1854,-0.06354838709677413,-0.15,,,,
55,1855,0.16645161290322585,-0.16,,,,
56,1856,0.4964516129032258,-0.16,,,,
57,1857,-0.5735483870967742,-0.17,,,,
58,1858,-0.45354838709677414,-0.17,,,,
59,1859,-0.2935483870967742,-0.17,,,,
60,1860,-0.31354838709677413,-0.17,,,,
61,1861,-0.05354838709677412,-0.17,,,,
62,1862,-0.23354838709677417,-0.15,,,,
63,1863,-0.1335483870967742,-0.13,,,,
64,1864,-0.22354838709677416,-0.09,,,,
65,1865,0.09645161290322585,-0.05,,,,
66,1866,-0.19354838709677413,-0.02,,,,
67,1867,0.04645161290322586,0.0,,,,
68,1868,0.2564516129032258,0.02,,,,
69,1869,0.47645161290322585,0.04,,,,
70,1870,0.03645161290322585,0.06,,,,
71,1871,0.04645161290322586,0.08,,,,
72,1872,0.22645161290322585,0.09,,,,
73,1873,-0.20354838709677414,0.1,,,,
74,1874,-0.03354838709677421,0.09,,,,
75,1875,0.02645161290322584,0.08,,,,
76,1876,0.21645161290322584,0.05,,,,
77,1877,0.4464516129032258,0.03,,,,
78,1878,0.6764516129032259,0.01,,,,
79,1879,0.04645161290322586,-0.0,,,,
80,1880,-0.09354838709677415,-0.02,,,,
81,1881,-0.10354838709677416,-0.03,,,,
82,1882,-0.2935483870967742,-0.05,,,,
83,1883,-0.05354838709677412,-0.06,,,,
84,1884,-0.2835483870967742,-0.08,,,,
85,1885,0.06645161290322582,-0.09,,,,
86,1886,-0.21354838709677415,-0.1,,,,
87,1887,-0.34354838709677415,-0.1,,,,
88,1888,0.10645161290322586,-0.1,,,,
89,1889,0.26645161290322583,-0.09,,,,
90,1890,-0.10354838709677416,-0.08,,,,
91,1891,-0.013548387096774195,-0.06,,,,
92,1892,-0.21354838709677415,-0.03,,,,
93,1893,-0.2935483870967742,-0.01,,,,
94,1894,-0.22354838709677416,0.02,,,,
95,1895,-0.03354838709677421,0.04,,,,
96,1896,0.1764516129032258,0.06,,,,
97,1897,0.39645161290322584,0.07,,,,
98,1898,0.13645161290322583,0.09,,,,
99,1899,0.07645161290322583,0.11,,,,
100,1900,0.47645161290322585,0.13,,,,
101,1901,0.26645161290322583,0.13,,,,
102,1902,0.06645161290322582,0.13,,,,
103,1903,0.19645161290322583,0.12,,,,
104,1904,-0.19354838709677413,0.1,,,,
105,1905,0.29645161290322586,0.07,,,,
106,1906,0.11645161290322581,0.05,,,,
107,1907,-0.06354838709677413,0.03,,,,
108,1908,0.05645161290322581,0.02,,,,
109,1909,-0.1335483870967742,0.01,,,,
110,1910,-0.2935483870967742,-0.01,,,,
111,1911,0.006451612903225823,-0.02,,,,
112,1912,0.1764516129032258,-0.02,,,,
113,1913,-0.2935483870967742,-0.02,,,,
114,1914,0.15645161290322585,-0.02,,,,
115,1915,0.42645161290322586,-0.02,,,,
