Ethiopia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,,,,,,
76,1876,,,,,,
77,1877,,,,,,
78,1878,,,,,,
79,1879,,,,,,
80,1880,,,,,,
81,1881,,,,,,
82,1882,0.08124999999999999,-0.05,,,,
83,1883,-0.03875000000000001,-0.04,,,,
84,1884,-0.20875,-0.03,,,,
85,1885,,,,,,
86,1886,0.13124999999999998,-0.0,,,,
87,1887,-0.20875,0.01,,,,
88,1888,0.20124999999999996,0.03,,,,
89,1889,0.15124999999999997,0.04,,,,
90,1890,-0.10875000000000001,0.06,,,,
91,1891,0.08124999999999999,0.08,,,,
92,1892,-0.018750000000000044,0.09,,,,
93,1893,-0.028750000000000053,0.12,,,,
94,1894,0.17124999999999996,0.14,,,,
95,1895,0.25125,0.16,,,,
96,1896,0.28125,0.18,,,,
97,1897,0.14124999999999996,0.2,,,,
98,1898,0.25125,0.22,,,,
99,1899,0.21124999999999997,0.22,,,,
100,1900,0.39125,0.22,,,,
101,1901,0.56125,0.22,,,,
102,1902,0.27125,0.2,,,,
103,1903,0.15124999999999997,0.19,,,,
104,1904,0.05124999999999996,0.17,,,,
105,1905,0.27125,0.15,,,,
106,1906,0.21124999999999997,0.13,,,,
107,1907,-0.14875000000000005,0.11,,,,
108,1908,0.0012499999999999734,0.08,,,,
109,1909,-0.14875000000000005,0.06,,,,
110,1910,0.54125,0.04,,,,
111,1911,0.23124999999999996,0.03,,,,
112,1912,-0.22875,0.02,,,,
113,1913,-0.17875000000000008,0.02,,,,
114,1914,0.35124999999999995,0.03,,,,
115,1915,0.78125,0.04,,,,
116,1916,-0.06875000000000003,0.06,,,,
117,1917,-0.28875000000000006,0.07,,,,
118,1918,-0.07875000000000004,0.09,,,,
119,1919,0.77125,0.11,,,,
120,1920,0.29124999999999995,0.13,,,,
121,1921,0.27125,0.16,,,,
122,1922,0.10124999999999995,0.19,,,,
123,1923,0.02124999999999999,0.22,,,,
124,1924,0.51125,0.25,,,,
125,1925,0.28125,0.28,,,,
126,1926,0.48124999999999996,0.29,,,,
127,1927,0.23124999999999996,0.31,,,,
128,1928,0.26125,0.32,,,,
129,1929,0.34124999999999994,0.32,,,,
130,1930,0.33125,0.33,,,,
131,1931,0.6912499999999999,0.33,,,,
132,1932,0.04124999999999995,0.33,,,,
133,1933,0.50125,0.34,,,,
134,1934,0.28125,0.35,,,,
135,1935,0.37124999999999997,0.37,,,,
136,1936,0.23124999999999996,0.38,,,,
137,1937,0.16124999999999998,0.4,,,,
138,1938,0.29124999999999995,0.42,,,,
139,1939,0.44125,0.44,,,,
140,1940,0.65125,0.45,,,,
141,1941,0.82125,0.46,,,,
142,1942,0.61125,0.46,,,,
143,1943,0.37124999999999997,0.46,,,,
144,1944,0.63125,0.45,,,,
145,1945,0.60125,0.44,,,,
146,1946,0.44125,0.43,,,,
147,1947,0.45125,0.41,,,,
148,1948,0.16124999999999998,0.38,,,,
149,1949,0.26125,0.36,,,,
150,1950,0.11124999999999996,0.33,,,,
151,1951,0.23124999999999996,0.31,,,,
152,1952,0.42124999999999996,0.3,,,,
153,1953,0.49124999999999996,0.3,,,,
