French Polynesia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,,,,,,
76,1876,,,,,,
77,1877,,,,,,
78,1878,1.1133333333333333,0.59,,,,
79,1879,-0.1166666666666667,0.5,,,,
80,1880,0.38333333333333336,0.42,,,,
81,1881,0.5933333333333334,0.34,,,,
82,1882,0.6333333333333333,0.26,,,,
83,1883,0.35333333333333333,0.19,,,,
84,1884,-0.5166666666666666,0.12,,,,
85,1885,-0.32666666666666666,0.06,,,,
86,1886,-0.3566666666666667,-0.0,,,,
87,1887,-0.3966666666666666,-0.06,,,,
88,1888,-0.3566666666666667,-0.11,,,,
89,1889,,,,,,
90,1890,-1.0066666666666666,-0.18,,,,
91,1891,,,,,,
92,1892,-0.6166666666666667,-0.18,,,,
93,1893,-0.5566666666666666,-0.16,,,,
94,1894,,,,,,
95,1895,0.08333333333333337,-0.1,,,,
96,1896,0.12333333333333335,-0.06,,,,
97,1897,,,,,,
98,1898,0.043333333333333335,0.02,,,,
99,1899,0.6933333333333334,0.05,,,,
100,1900,0.08333333333333337,0.08,,,,
101,1901,0.14333333333333337,0.09,,,,
102,1902,0.25333333333333335,0.11,,,,
103,1903,0.9633333333333334,0.11,,,,
104,1904,-0.4966666666666667,0.11,,,,
105,1905,0.023333333333333373,0.12,,,,
106,1906,0.15333333333333332,0.12,,,,
107,1907,0.013333333333333364,0.12,,,,
108,1908,0.15333333333333332,0.12,,,,
109,1909,0.11333333333333334,0.12,,,,
110,1910,0.12333333333333335,0.12,,,,
111,1911,0.14333333333333337,0.12,,,,
112,1912,0.12333333333333335,0.12,,,,
113,1913,0.11333333333333334,0.13,,,,
114,1914,,,,,,
115,1915,0.2733333333333333,0.14,,,,
116,1916,0.07333333333333336,0.15,,,,
117,1917,-0.1466666666666666,0.17,,,,
118,1918,0.09333333333333332,0.18,,,,
119,1919,0.32333333333333336,0.19,,,,
120,1920,0.18333333333333335,0.21,,,,
121,1921,,,,,,
122,1922,0.33333333333333337,0.24,,,,
123,1923,0.14333333333333337,0.26,,,,
124,1924,0.4633333333333334,0.27,,,,
125,1925,0.21333333333333335,0.28,,,,
126,1926,0.36333333333333334,0.28,,,,
127,1927,0.5233333333333333,0.29,,,,
128,1928,0.32333333333333336,0.28,,,,
129,1929,-0.016666666666666663,0.28,,,,
130,1930,0.22333333333333336,0.28,,,,
131,1931,0.2833333333333333,0.27,,,,
132,1932,0.33333333333333337,0.27,,,,
133,1933,0.18333333333333335,0.28,,,,
134,1934,0.31333333333333335,0.3,,,,
135,1935,0.21333333333333335,0.32,,,,
136,1936,0.053333333333333344,0.36,,,,
137,1937,0.49333333333333335,0.39,,,,
138,1938,0.43333333333333335,0.42,,,,
139,1939,0.2833333333333333,0.45,,,,
140,1940,0.7933333333333333,0.48,,,,
141,1941,0.6133333333333333,0.52,,,,
142,1942,0.6433333333333333,0.55,,,,
143,1943,0.5933333333333334,0.57,,,,
144,1944,0.22333333333333336,0.58,,,,
145,1945,0.7833333333333333,0.59,,,,
146,1946,0.45333333333333337,0.59,,,,
147,1947,0.7833333333333333,0.58,,,,
148,1948,0.6933333333333334,0.57,,,,
