Haiti,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,0.2932258064516129,0.32,,,,
25,1825,0.003225806451612856,0.25,,,,
26,1826,0.22322580645161288,0.18,,,,
27,1827,0.5532258064516129,0.11,,,,
28,1828,0.2832258064516129,0.03,,,,
29,1829,-0.23677419354838714,-0.04,,,,
30,1830,0.2832258064516129,-0.1,,,,
31,1831,-0.38677419354838716,-0.17,,,,
32,1832,-0.6667741935483871,-0.24,,,,
33,1833,-0.26677419354838716,-0.3,,,,
34,1834,-0.27677419354838717,-0.38,,,,
35,1835,-0.9567741935483871,-0.42,,,,
36,1836,,,,,,
37,1837,-0.8567741935483872,-0.49,,,,
38,1838,-0.6667741935483871,-0.5,,,,
39,1839,-0.4667741935483871,-0.5,,,,
40,1840,-0.39677419354838717,-0.49,,,,
41,1841,-0.7867741935483872,-0.47,,,,
42,1842,-0.3167741935483871,-0.43,,,,
43,1843,-0.1867741935483871,-0.38,,,,
44,1844,-0.9367741935483871,-0.33,,,,
45,1845,-0.7867741935483872,-0.28,,,,
46,1846,0.06322580645161285,-0.24,,,,
47,1847,-0.17677419354838708,-0.2,,,,
48,1848,-0.13677419354838716,-0.16,,,,
49,1849,0.053225806451612845,-0.12,,,,
50,1850,-0.016774193548387162,-0.1,,,,
51,1851,0.13322580645161286,-0.09,,,,
52,1852,-0.3067741935483871,-0.09,,,,
53,1853,0.003225806451612856,-0.1,,,,
54,1854,-0.0667741935483871,-0.12,,,,
55,1855,0.14322580645161287,-0.13,,,,
56,1856,0.5232258064516129,-0.14,,,,
57,1857,-0.6067741935483872,-0.15,,,,
58,1858,-0.4567741935483871,-0.17,,,,
59,1859,-0.2967741935483872,-0.18,,,,
60,1860,-0.3067741935483871,-0.18,,,,
61,1861,-0.016774193548387162,-0.18,,,,
62,1862,-0.22677419354838713,-0.17,,,,
63,1863,-0.15677419354838718,-0.15,,,,
64,1864,-0.2867741935483872,-0.12,,,,
65,1865,0.06322580645161285,-0.09,,,,
66,1866,-0.3367741935483871,-0.06,,,,
67,1867,-0.006774193548387153,-0.04,,,,
68,1868,0.22322580645161288,-0.02,,,,
69,1869,0.5532258064516129,-0.0,,,,
70,1870,-0.04677419354838719,0.02,,,,
71,1871,-0.006774193548387153,0.05,,,,
72,1872,0.22322580645161288,0.07,,,,
73,1873,-0.26677419354838716,0.08,,,,
74,1874,-0.04677419354838719,0.08,,,,
75,1875,0.07322580645161286,0.07,,,,
76,1876,0.25322580645161286,0.06,,,,
77,1877,0.44322580645161286,0.04,,,,
78,1878,0.7532258064516129,0.03,,,,
79,1879,0.12322580645161285,0.01,,,,
80,1880,-0.056774193548387086,0.0,,,,
81,1881,-0.15677419354838718,-0.01,,,,
82,1882,-0.3267741935483871,-0.03,,,,
83,1883,0.07322580645161286,-0.05,,,,
84,1884,-0.2967741935483872,-0.06,,,,
85,1885,0.023225806451612874,-0.08,,,,
86,1886,-0.1967741935483871,-0.09,,,,
87,1887,-0.3267741935483871,-0.09,,,,
88,1888,0.11322580645161284,-0.09,,,,
89,1889,0.25322580645161286,-0.08,,,,
90,1890,-0.10677419354838713,-0.07,,,,
91,1891,0.04322580645161289,-0.05,,,,
92,1892,-0.1967741935483871,-0.02,,,,
93,1893,-0.2967741935483872,0.0,,,,
94,1894,-0.24677419354838714,0.03,,,,
95,1895,-0.04677419354838719,0.05,,,,
96,1896,0.19322580645161286,0.06,,,,
97,1897,0.44322580645161286,0.08,,,,
98,1898,0.12322580645161285,0.1,,,,
99,1899,0.15322580645161288,0.11,,,,
100,1900,0.5332258064516129,0.13,,,,
101,1901,0.17322580645161284,0.14,,,,
102,1902,0.04322580645161289,0.13,,,,
103,1903,0.23322580645161284,0.12,,,,
104,1904,-0.15677419354838718,0.1,,,,
105,1905,0.26322580645161286,0.07,,,,
106,1906,0.03322580645161288,0.05,,,,
107,1907,0.03322580645161288,0.04,,,,
108,1908,0.09322580645161288,0.03,,,,
109,1909,-0.1867741935483871,0.02,,,,
110,1910,-0.37677419354838715,0.01,,,,
111,1911,0.04322580645161289,-0.0,,,,
112,1912,0.23322580645161284,-0.01,,,,
113,1913,-0.21677419354838712,-0.01,,,,
114,1914,0.18322580645161285,-0.0,,,,
115,1915,0.4232258064516129,0.01,,,,
