Kosovo,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.4806451612903225,0.72,,,,
1,1801,1.0306451612903225,0.61,,,,
2,1802,1.0106451612903224,0.51,,,,
3,1803,-0.04935483870967755,0.41,,,,
4,1804,0.24064516129032248,0.31,,,,
5,1805,-0.7993548387096774,0.21,,,,
6,1806,0.4506451612903225,0.11,,,,
7,1807,0.6706451612903225,0.0,,,,
8,1808,-0.9693548387096775,-0.1,,,,
9,1809,-0.5493548387096776,-0.2,,,,
10,1810,-0.07935483870967752,-0.28,,,,
11,1811,0.3206451612903225,-0.33,,,,
12,1812,-0.8993548387096775,-0.36,,,,
13,1813,-0.7093548387096775,-0.37,,,,
14,1814,-0.7193548387096775,-0.37,,,,
15,1815,-0.5793548387096776,-0.34,,,,
16,1816,-0.9593548387096775,-0.3,,,,
17,1817,-0.28935483870967754,-0.25,,,,
18,1818,0.07064516129032244,-0.2,,,,
19,1819,0.06064516129032249,-0.14,,,,
20,1820,0.010645161290322447,-0.07,,,,
21,1821,-0.1193548387096775,-0.01,,,,
22,1822,0.7206451612903224,0.03,,,,
23,1823,0.030645161290322465,0.06,,,,
24,1824,0.6806451612903225,0.06,,,,
25,1825,0.030645161290322465,0.04,,,,
26,1826,-0.04935483870967755,0.01,,,,
27,1827,0.3706451612903225,-0.03,,,,
28,1828,0.06064516129032249,-0.07,,,,
29,1829,-1.0093548387096776,-0.12,,,,
30,1830,-0.13935483870967752,-0.17,,,,
31,1831,-0.16935483870967755,-0.23,,,,
32,1832,-0.9993548387096776,-0.29,,,,
33,1833,-0.21935483870967748,-0.34,,,,
34,1834,0.40064516129032246,-0.37,,,,
35,1835,-0.7193548387096775,-0.39,,,,
36,1836,-0.07935483870967752,-0.39,,,,
37,1837,-0.9893548387096776,-0.38,,,,
38,1838,-0.8893548387096775,-0.37,,,,
39,1839,-0.15935483870967754,-0.36,,,,
40,1840,-0.7893548387096774,-0.34,,,,
41,1841,0.6306451612903226,-0.32,,,,
42,1842,-0.41935483870967755,-0.3,,,,
43,1843,-0.03935483870967754,-0.27,,,,
44,1844,-0.5693548387096776,-0.24,,,,
45,1845,-0.2593548387096775,-0.21,,,,
46,1846,0.8806451612903226,-0.18,,,,
47,1847,-0.42935483870967756,-0.16,,,,
48,1848,0.3706451612903225,-0.14,,,,
49,1849,-0.2693548387096775,-0.14,,,,
50,1850,-0.6193548387096774,-0.14,,,,
51,1851,-0.15935483870967754,-0.14,,,,
52,1852,0.13064516129032247,-0.14,,,,
53,1853,0.22064516129032247,-0.13,,,,
54,1854,-0.3593548387096775,-0.12,,,,
55,1855,0.0006451612903224935,-0.09,,,,
56,1856,-0.27935483870967753,-0.06,,,,
57,1857,-0.3893548387096775,-0.02,,,,
58,1858,-0.8993548387096775,0.01,,,,
59,1859,0.4306451612903225,0.03,,,,
60,1860,0.28064516129032246,0.05,,,,
61,1861,0.06064516129032249,0.08,,,,
62,1862,0.5006451612903224,0.11,,,,
63,1863,0.8706451612903225,0.13,,,,
64,1864,-0.8193548387096774,0.15,,,,
65,1865,0.0006451612903224935,0.16,,,,
66,1866,0.35064516129032247,0.16,,,,
67,1867,0.23064516129032248,0.14,,,,
68,1868,0.39064516129032245,0.12,,,,
69,1869,0.23064516129032248,0.09,,,,
70,1870,-0.4893548387096775,0.08,,,,
71,1871,-0.5593548387096776,0.06,,,,
72,1872,1.0606451612903225,0.05,,,,
73,1873,0.6006451612903225,0.04,,,,
74,1874,-0.3393548387096775,0.02,,,,
75,1875,-0.9593548387096775,0.01,,,,
76,1876,0.19064516129032247,-0.01,,,,
77,1877,0.08064516129032245,-0.03,,,,
78,1878,0.27064516129032246,-0.04,,,,
79,1879,-0.08935483870967753,-0.05,,,,
80,1880,0.06064516129032249,-0.06,,,,
81,1881,-0.4793548387096775,-0.07,,,,
82,1882,0.39064516129032245,-0.09,,,,
83,1883,-0.4893548387096775,-0.1,,,,
84,1884,-0.6593548387096775,-0.12,,,,
85,1885,0.19064516129032247,-0.13,,,,
86,1886,0.25064516129032244,-0.15,,,,
87,1887,0.030645161290322465,-0.15,,,,
88,1888,-0.6293548387096775,-0.15,,,,
89,1889,-0.3593548387096775,-0.15,,,,
90,1890,-0.03935483870967754,-0.14,,,,
91,1891,-0.2593548387096775,-0.12,,,,
92,1892,0.3106451612903225,-0.1,,,,
93,1893,-0.8793548387096775,-0.07,,,,
94,1894,-0.009354838709677515,-0.04,,,,
95,1895,0.040645161290322473,-0.01,,,,
96,1896,-0.17935483870967756,0.02,,,,
97,1897,-0.059354838709677504,0.05,,,,
98,1898,0.6506451612903225,0.07,,,,
99,1899,0.11064516129032248,0.08,,,,
100,1900,0.7006451612903224,0.08,,,,
101,1901,-0.059354838709677504,0.08,,,,
102,1902,-0.06935483870967751,0.08,,,,
103,1903,0.34064516129032246,0.07,,,,
104,1904,0.19064516129032247,0.06,,,,
105,1905,-0.20935483870967758,0.04,,,,
106,1906,-0.13935483870967752,0.01,,,,
107,1907,-0.20935483870967758,-0.01,,,,
108,1908,-0.21935483870967748,-0.03,,,,
109,1909,0.010645161290322447,-0.03,,,,
110,1910,0.38064516129032244,-0.02,,,,
111,1911,0.14064516129032248,0.0,,,,
112,1912,-0.39935483870967753,0.03,,,,
113,1913,-0.04935483870967755,0.06,,,,
114,1914,-0.5693548387096776,0.08,,,,
115,1915,0.18064516129032246,0.1,,,,
116,1916,1.1506451612903226,0.12,,,,
117,1917,0.26064516129032245,0.14,,,,
118,1918,0.5106451612903224,0.17,,,,
119,1919,-0.14935483870967753,0.21,,,,
120,1920,0.27064516129032246,0.26,,,,
121,1921,0.05064516129032248,0.3,,,,
122,1922,-0.009354838709677515,0.32,,,,
123,1923,1.0906451612903225,0.34,,,,
124,1924,-0.13935483870967752,0.34,,,,
125,1925,0.3706451612903225,0.34,,,,
126,1926,0.7406451612903224,0.35,,,,
127,1927,1.2006451612903224,0.35,,,,
128,1928,0.4306451612903225,0.37,,,,
129,1929,-0.5693548387096776,0.39,,,,
130,1930,0.8106451612903225,0.4,,,,
131,1931,0.11064516129032248,0.41,,,,
132,1932,-0.009354838709677515,0.41,,,,
133,1933,-0.8393548387096774,0.4,,,,
134,1934,1.0806451612903225,0.38,,,,
135,1935,0.3106451612903225,0.35,,,,
136,1936,0.8606451612903225,0.34,,,,
137,1937,0.8206451612903225,0.33,,,,
138,1938,0.10064516129032247,0.33,,,,
139,1939,0.6406451612903225,0.34,,,,
140,1940,-1.0793548387096774,0.35,,,,
141,1941,-0.5193548387096776,0.36,,,,
142,1942,-0.28935483870967754,0.36,,,,
143,1943,0.8006451612903225,0.37,,,,
144,1944,-0.04935483870967755,0.39,,,,
145,1945,0.3006451612903225,0.42,,,,
146,1946,1.1206451612903225,0.47,,,,
147,1947,0.8806451612903226,0.52,,,,
148,1948,0.3206451612903225,0.55,,,,
149,1949,0.040645161290322473,0.57,,,,
150,1950,1.4706451612903226,0.58,,,,
151,1951,1.4006451612903226,0.58,,,,
152,1952,1.1706451612903224,0.58,,,,
153,1953,0.18064516129032246,0.58,,,,
154,1954,-0.3593548387096775,0.57,,,,
155,1955,0.5806451612903225,0.56,,,,
156,1956,-0.6293548387096775,0.54,,,,
157,1957,0.6706451612903225,0.52,,,,
158,1958,0.9306451612903224,0.48,,,,
159,1959,0.05064516129032248,0.46,,,,
160,1960,0.9006451612903226,0.45,,,,
161,1961,0.7406451612903224,0.45,,,,
162,1962,0.35064516129032247,0.45,,,,
163,1963,0.40064516129032246,0.44,,,,
164,1964,0.11064516129032248,0.42,,,,
165,1965,0.0006451612903224935,0.4,,,,
166,1966,0.9406451612903224,0.37,,,,
167,1967,0.3706451612903225,0.34,,,,
168,1968,0.5206451612903225,0.32,,,,
169,1969,0.05064516129032248,0.3,,,,
170,1970,0.3106451612903225,0.29,,,,
171,1971,0.20064516129032248,0.28,,,,
172,1972,0.41064516129032247,0.27,,,,
173,1973,-0.04935483870967755,0.25,,,,
174,1974,0.34064516129032246,0.24,,,,
175,1975,0.4406451612903225,0.23,,,,
176,1976,-0.4593548387096776,0.23,,,,
177,1977,0.8506451612903225,0.23,,,,
178,1978,-0.18935483870967756,0.24,,,,
179,1979,0.6306451612903226,0.25,,,,
180,1980,-0.3393548387096775,0.26,,,,
181,1981,0.22064516129032247,0.29,,,,
182,1982,0.6306451612903226,0.31,,,,
183,1983,0.33064516129032245,0.35,,,,
184,1984,0.20064516129032248,0.38,,,,
185,1985,0.17064516129032248,0.43,,,,
186,1986,0.5506451612903225,0.47,,,,
187,1987,0.5306451612903225,0.52,,,,
188,1988,0.6406451612903225,0.56,,,,
189,1989,0.5706451612903225,0.59,,,,
190,1990,1.2406451612903224,0.62,,,,
191,1991,-0.019354838709677524,0.65,,,,
192,1992,0.8906451612903226,0.69,,,,
193,1993,0.8006451612903225,0.74,,,,
194,1994,1.9706451612903226,0.8,,,,
195,1995,0.46064516129032246,0.85,,,,
196,1996,0.3706451612903225,0.91,,,,
197,1997,0.4206451612903225,0.95,,,,
198,1998,0.9406451612903224,0.99,,,,
199,1999,1.3106451612903225,1.02,,,,
200,2000,1.6706451612903226,1.06,,,,
201,2001,1.3806451612903226,1.11,,,,
202,2002,1.4906451612903224,1.18,,,,
203,2003,1.2106451612903224,1.24,,,,
204,2004,0.9906451612903224,1.3,,,,
205,2005,0.3106451612903225,1.35,1.39,1.42,1.48,1.4
206,2006,0.7506451612903224,1.39,1.43,1.45,1.51,1.44
207,2007,1.8706451612903225,1.42,1.47,1.49,1.54,1.48
208,2008,1.8406451612903225,1.46,1.51,1.53,1.57,1.52
209,2009,1.5806451612903225,1.5,1.55,1.56,1.6,1.56
210,2010,1.5806451612903225,1.56,1.6,1.6,1.63,1.6
211,2011,1.2606451612903224,1.62,1.64,1.64,1.66,1.64
212,2012,1.7606451612903224,1.68,1.69,1.68,1.69,1.68
213,2013,1.9106451612903226,1.73,1.73,1.72,1.72,1.72
214,2014,1.9206451612903226,1.79,1.77,1.75,1.75,1.76
215,2015,1.8806451612903226,1.84,1.81,1.8,1.78,1.81
216,2016,1.6506451612903226,1.89,1.85,1.84,1.81,1.85
217,2017,1.5706451612903225,1.95,1.9,1.89,1.84,1.9
218,2018,2.3106451612903225,2.0,1.95,1.94,1.88,1.94
219,2019,2.2906451612903225,2.05,2.0,1.98,1.92,1.99
220,2020,1.9006451612903226,2.1,2.05,2.03,1.96,2.04
221,2021,,,2.08,2.08,2.0,2.08
222,2022,,,2.12,2.12,2.04,2.12
223,2023,,,2.15,2.16,2.08,2.16
224,2024,,,2.18,2.2,2.12,2.19
225,2025,,,2.21,2.23,2.16,2.23
226,2026,,,2.23,2.26,2.21,2.27
227,2027,,,2.24,2.29,2.25,2.31
228,2028,,,2.26,2.32,2.3,2.35
229,2029,,,2.27,2.35,2.34,2.4
230,2030,,,2.29,2.38,2.38,2.43
231,2031,,,2.3,2.41,2.42,2.47
232,2032,,,2.32,2.45,2.47,2.52
233,2033,,,2.34,2.48,2.51,2.57
234,2034,,,2.36,2.5,2.55,2.62
235,2035,,,2.38,2.53,2.58,2.67
236,2036,,,2.4,2.56,2.62,2.73
237,2037,,,2.42,2.58,2.66,2.78
238,2038,,,2.44,2.61,2.69,2.83
239,2039,,,2.47,2.63,2.71,2.88
240,2040,,,2.49,2.65,2.75,2.94
241,2041,,,2.52,2.67,2.78,2.99
242,2042,,,2.54,2.7,2.82,3.04
243,2043,,,2.57,2.72,2.86,3.09
244,2044,,,2.59,2.75,2.9,3.14
245,2045,,,2.61,2.77,2.95,3.19
246,2046,,,2.63,2.81,3.0,3.24
247,2047,,,2.65,2.85,3.05,3.3
248,2048,,,2.66,2.88,3.1,3.35
249,2049,,,2.67,2.91,3.15,3.41
250,2050,,,2.67,2.94,3.21,3.48
251,2051,,,2.68,2.98,3.25,3.54
252,2052,,,2.68,3.0,3.29,3.61
253,2053,,,2.67,3.02,3.33,3.68
254,2054,,,2.67,3.04,3.36,3.74
255,2055,,,2.68,3.06,3.39,3.8
256,2056,,,2.68,3.09,3.42,3.86
257,2057,,,2.69,3.11,3.47,3.92
258,2058,,,2.7,3.13,3.51,3.97
259,2059,,,2.7,3.15,3.56,4.02
260,2060,,,2.7,3.17,3.6,4.07
261,2061,,,2.71,3.2,3.65,4.12
262,2062,,,2.71,3.22,3.69,4.18
263,2063,,,2.72,3.24,3.74,4.23
264,2064,,,2.72,3.27,3.78,4.29
265,2065,,,2.73,3.29,3.83,4.36
266,2066,,,2.73,3.31,3.88,4.43
267,2067,,,2.72,3.33,3.92,4.5
268,2068,,,2.71,3.34,3.96,4.56
269,2069,,,2.71,3.36,3.99,4.64
270,2070,,,2.7,3.37,4.04,4.71
271,2071,,,2.7,3.39,4.09,4.78
272,2072,,,2.7,3.41,4.14,4.84
273,2073,,,2.69,3.42,4.2,4.9
274,2074,,,2.69,3.44,4.26,4.97
275,2075,,,2.68,3.46,4.31,5.03
276,2076,,,2.67,3.48,4.37,5.09
277,2077,,,2.66,3.5,4.42,5.15
278,2078,,,2.65,3.52,4.47,5.21
279,2079,,,2.65,3.53,4.52,5.27
280,2080,,,2.64,3.55,4.57,5.33
281,2081,,,2.65,3.57,4.62,5.39
282,2082,,,2.65,3.59,4.66,5.45
283,2083,,,2.65,3.61,4.7,5.52
284,2084,,,2.65,3.63,4.74,5.59
285,2085,,,2.65,3.64,4.79,5.65
286,2086,,,2.65,3.66,4.83,5.72
287,2087,,,2.66,3.67,4.88,5.79
288,2088,,,2.66,3.68,4.93,5.86
289,2089,,,2.66,3.7,4.99,5.93
290,2090,,,2.66,3.72,5.04,6.01
291,2091,,,2.65,3.74,5.1,6.09
292,2092,,,2.64,3.75,5.16,6.17
293,2093,,,2.63,3.76,5.22,6.25
294,2094,,,2.63,3.77,5.28,6.33
295,2095,,,2.62,3.78,5.34,6.41
296,2096,,,2.62,3.79,5.4,6.49
297,2097,,,2.61,3.8,5.46,6.57
298,2098,,,2.61,3.81,5.52,6.64
299,2099,,,2.6,3.82,5.58,6.72
300,2100,,,2.6,3.83,5.65,6.81
