Mauritius,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,0.6749999999999999,0.65,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,0.015000000000000013,-0.13,,,,
54,1854,0.0050000000000000044,-0.09,,,,
55,1855,-0.3350000000000001,-0.06,,,,
56,1856,-0.29500000000000004,-0.03,,,,
57,1857,-0.44500000000000006,-0.0,,,,
58,1858,0.025000000000000022,0.02,,,,
59,1859,0.185,0.05,,,,
60,1860,0.5249999999999999,0.07,,,,
61,1861,0.32499999999999996,0.08,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,,,,,,
76,1876,,,,,,
77,1877,,,,,,
78,1878,,,,,,
79,1879,,,,,,
80,1880,,,,,,
81,1881,,,,,,
82,1882,,,,,,
83,1883,,,,,,
84,1884,-0.365,-0.25,,,,
85,1885,-0.08500000000000008,-0.21,,,,
86,1886,,,,,,
87,1887,-0.255,-0.12,,,,
88,1888,0.13499999999999995,-0.07,,,,
89,1889,0.10499999999999998,-0.03,,,,
90,1890,-0.385,0.02,,,,
91,1891,0.025000000000000022,0.06,,,,
92,1892,0.485,0.1,,,,
93,1893,-0.20500000000000007,0.14,,,,
94,1894,0.16499999999999998,0.19,,,,
95,1895,0.43499999999999994,0.24,,,,
96,1896,0.14499999999999996,0.28,,,,
97,1897,0.595,0.31,,,,
98,1898,0.31499999999999995,0.34,,,,
99,1899,0.31499999999999995,0.35,,,,
100,1900,0.385,0.34,,,,
101,1901,0.295,0.31,,,,
102,1902,0.5449999999999999,0.28,,,,
103,1903,0.21499999999999997,0.26,,,,
104,1904,-0.125,0.23,,,,
105,1905,0.305,0.2,,,,
106,1906,0.15499999999999997,0.17,,,,
107,1907,0.08499999999999996,0.14,,,,
108,1908,0.355,0.13,,,,
109,1909,0.015000000000000013,0.12,,,,
110,1910,0.04499999999999993,0.13,,,,
111,1911,-0.015000000000000013,0.14,,,,
112,1912,0.25499999999999995,0.17,,,,
113,1913,-0.015000000000000013,0.17,,,,
114,1914,0.495,0.17,,,,
115,1915,0.495,0.15,,,,
116,1916,0.235,0.14,,,,
117,1917,-0.21500000000000008,0.11,,,,
118,1918,-0.22499999999999998,0.07,,,,
119,1919,0.505,0.03,,,,
120,1920,-0.10499999999999998,0.01,,,,
121,1921,-0.04500000000000004,0.03,,,,
122,1922,-0.06500000000000006,0.08,,,,
123,1923,0.27499999999999997,0.13,,,,
124,1924,0.07499999999999996,0.17,,,,
125,1925,0.32499999999999996,0.2,,,,
126,1926,0.615,0.23,,,,
127,1927,0.09499999999999997,0.25,,,,
128,1928,0.295,0.26,,,,
129,1929,0.125,0.26,,,,
130,1930,0.185,0.25,,,,
131,1931,0.5449999999999999,0.25,,,,
132,1932,0.19499999999999995,0.26,,,,
133,1933,0.285,0.29,,,,
134,1934,0.05499999999999994,0.31,,,,
135,1935,0.365,0.34,,,,
136,1936,0.44499999999999995,0.37,,,,
137,1937,0.46499999999999997,0.4,,,,
138,1938,0.33499999999999996,0.42,,,,
139,1939,0.5249999999999999,0.42,,,,
140,1940,0.625,0.4,,,,
141,1941,0.46499999999999997,0.37,,,,
142,1942,0.125,0.34,,,,
143,1943,-0.345,0.31,,,,
144,1944,0.295,0.28,,,,
145,1945,0.21499999999999997,0.25,,,,
146,1946,0.345,0.24,,,,
147,1947,0.14499999999999996,0.25,,,,
148,1948,0.31499999999999995,0.28,,,,
149,1949,0.19499999999999995,0.32,,,,
150,1950,0.09499999999999997,0.38,,,,
