Mexico,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.32225806451612904,0.38,,,,
1,1801,0.597741935483871,0.35,,,,
2,1802,,,,,,
3,1803,0.30774193548387097,0.28,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,-0.402258064516129,-0.43,,,,
21,1821,-0.672258064516129,-0.4,,,,
22,1822,-0.34225806451612906,-0.37,,,,
23,1823,-0.702258064516129,-0.35,,,,
24,1824,0.10774193548387095,-0.32,,,,
25,1825,-0.20225806451612904,-0.3,,,,
26,1826,0.16774193548387095,-0.28,,,,
27,1827,0.597741935483871,-0.26,,,,
28,1828,-0.05225806451612902,-0.24,,,,
29,1829,-0.5822580645161289,-0.24,,,,
30,1830,0.277741935483871,-0.26,,,,
31,1831,-1.012258064516129,-0.29,,,,
32,1832,-0.672258064516129,-0.33,,,,
33,1833,-0.12225806451612897,-0.37,,,,
34,1834,-0.04225806451612901,-0.4,,,,
35,1835,-1.0622580645161288,-0.43,,,,
36,1836,-0.602258064516129,-0.44,,,,
37,1837,-0.48225806451612907,-0.45,,,,
38,1838,-0.852258064516129,-0.45,,,,
39,1839,-0.32225806451612904,-0.46,,,,
40,1840,-0.422258064516129,-0.46,,,,
41,1841,-0.642258064516129,-0.45,,,,
42,1842,-0.17225806451612902,-0.43,,,,
43,1843,-0.272258064516129,-0.41,,,,
44,1844,-0.5422580645161291,-0.37,,,,
45,1845,-0.672258064516129,-0.34,,,,
46,1846,-0.012258064516128986,-0.3,,,,
47,1847,-0.5422580645161291,-0.27,,,,
48,1848,-0.3622580645161291,-0.24,,,,
49,1849,-0.152258064516129,-0.22,,,,
50,1850,0.07774193548387098,-0.21,,,,
51,1851,0.02774193548387094,-0.19,,,,
52,1852,0.03774193548387095,-0.18,,,,
53,1853,-0.19225806451612903,-0.17,,,,
54,1854,-0.19225806451612903,-0.15,,,,
55,1855,-0.282258064516129,-0.14,,,,
56,1856,-0.412258064516129,-0.12,,,,
57,1857,-0.3622580645161291,-0.12,,,,
58,1858,-0.11225806451612907,-0.11,,,,
59,1859,0.02774193548387094,-0.09,,,,
60,1860,-0.032258064516129004,-0.06,,,,
61,1861,0.22774193548387095,-0.03,,,,
62,1862,0.157741935483871,0.0,,,,
63,1863,-0.11225806451612907,0.03,,,,
64,1864,-0.152258064516129,0.05,,,,
65,1865,0.13774193548387098,0.06,,,,
66,1866,0.17774193548387096,0.07,,,,
67,1867,0.757741935483871,0.07,,,,
68,1868,0.007741935483870921,0.06,,,,
69,1869,0.01774193548387093,0.06,,,,
70,1870,0.047741935483870956,0.05,,,,
71,1871,0.327741935483871,0.05,,,,
72,1872,-0.04225806451612901,0.04,,,,
73,1873,-0.05225806451612902,0.04,,,,
74,1874,0.06774193548387097,0.02,,,,
75,1875,-0.012258064516128986,0.01,,,,
76,1876,-0.33225806451612905,-0.01,,,,
77,1877,0.18774193548387097,-0.04,,,,
78,1878,0.13774193548387098,-0.07,,,,
79,1879,0.267741935483871,-0.1,,,,
80,1880,-0.402258064516129,-0.13,,,,
81,1881,-0.10225806451612907,-0.16,,,,
82,1882,-0.23225806451612907,-0.19,,,,
83,1883,-0.3622580645161291,-0.21,,,,
84,1884,-0.3622580645161291,-0.23,,,,
85,1885,-0.21225806451612905,-0.25,,,,
86,1886,-0.382258064516129,-0.25,,,,
87,1887,-0.5422580645161291,-0.24,,,,
88,1888,-0.20225806451612904,-0.23,,,,
89,1889,0.02774193548387094,-0.21,,,,
90,1890,-0.10225806451612907,-0.18,,,,
91,1891,-0.32225806451612904,-0.14,,,,
92,1892,-0.142258064516129,-0.11,,,,
93,1893,-0.11225806451612907,-0.08,,,,
94,1894,-0.08225806451612905,-0.05,,,,
95,1895,-0.04225806451612901,-0.03,,,,
96,1896,0.457741935483871,-0.0,,,,
97,1897,0.207741935483871,0.02,,,,
98,1898,-0.19225806451612903,0.05,,,,
99,1899,-0.162258064516129,0.06,,,,
100,1900,0.23774193548387096,0.08,,,,
101,1901,0.11774193548387096,0.09,,,,
102,1902,0.40774193548387094,0.11,,,,
103,1903,-0.06225806451612903,0.12,,,,
104,1904,0.057741935483870965,0.14,,,,
105,1905,0.10774193548387095,0.15,,,,
106,1906,0.007741935483870921,0.16,,,,
107,1907,0.36774193548387096,0.15,,,,
108,1908,0.317741935483871,0.13,,,,
109,1909,0.28774193548387095,0.12,,,,
110,1910,0.13774193548387098,0.1,,,,
111,1911,0.317741935483871,0.1,,,,
112,1912,-0.31225806451612903,0.08,,,,
113,1913,-0.392258064516129,0.06,,,,
114,1914,-0.04225806451612901,0.04,,,,
115,1915,0.007741935483870921,0.03,,,,
116,1916,0.207741935483871,0.03,,,,
117,1917,-0.022258064516128995,0.05,,,,
118,1918,0.01774193548387093,0.08,,,,
119,1919,-0.162258064516129,0.11,,,,
120,1920,0.02774193548387094,0.16,,,,
121,1921,0.347741935483871,0.2,,,,
122,1922,0.40774193548387094,0.24,,,,
123,1923,0.317741935483871,0.28,,,,
124,1924,0.217741935483871,0.32,,,,
125,1925,0.347741935483871,0.36,,,,
126,1926,0.40774193548387094,0.39,,,,
127,1927,0.757741935483871,0.41,,,,
128,1928,0.577741935483871,0.43,,,,
129,1929,0.347741935483871,0.44,,,,
130,1930,0.41774193548387095,0.46,,,,
131,1931,0.28774193548387095,0.47,,,,
132,1932,0.42774193548387096,0.47,,,,
133,1933,0.6277419354838709,0.48,,,,
134,1934,0.6377419354838709,0.48,,,,
135,1935,0.29774193548387096,0.49,,,,
136,1936,0.457741935483871,0.5,,,,
137,1937,0.6577419354838709,0.52,,,,
138,1938,0.48774193548387096,0.53,,,,
139,1939,0.457741935483871,0.55,,,,
140,1940,0.537741935483871,0.57,,,,
141,1941,0.597741935483871,0.59,,,,
142,1942,0.6377419354838709,0.61,,,,
143,1943,0.6277419354838709,0.63,,,,
144,1944,0.29774193548387096,0.66,,,,
145,1945,0.947741935483871,0.68,,,,
146,1946,0.8877419354838709,0.71,,,,
147,1947,0.5277419354838709,0.73,,,,
148,1948,0.847741935483871,0.75,,,,
149,1949,0.6577419354838709,0.76,,,,
150,1950,0.987741935483871,0.76,,,,
151,1951,0.8677419354838709,0.76,,,,
152,1952,0.6377419354838709,0.75,,,,
153,1953,0.827741935483871,0.74,,,,
154,1954,0.917741935483871,0.73,,,,
155,1955,0.447741935483871,0.72,,,,
156,1956,0.5277419354838709,0.7,,,,
157,1957,0.937741935483871,0.69,,,,
158,1958,0.607741935483871,0.67,,,,
159,1959,0.6477419354838709,0.66,,,,
160,1960,0.6277419354838709,0.64,,,,
161,1961,0.547741935483871,0.62,,,,
162,1962,0.837741935483871,0.59,,,,
163,1963,0.767741935483871,0.57,,,,
164,1964,0.42774193548387096,0.55,,,,
165,1965,0.587741935483871,0.53,,,,
166,1966,0.22774193548387095,0.52,,,,
167,1967,0.48774193548387096,0.5,,,,
168,1968,0.13774193548387098,0.48,,,,
169,1969,0.787741935483871,0.46,,,,
170,1970,0.357741935483871,0.45,,,,
171,1971,0.477741935483871,0.44,,,,
172,1972,0.847741935483871,0.44,,,,
173,1973,0.317741935483871,0.45,,,,
174,1974,0.457741935483871,0.47,,,,
175,1975,0.257741935483871,0.48,,,,
176,1976,-0.032258064516129004,0.49,,,,
177,1977,0.6477419354838709,0.5,,,,
178,1978,0.557741935483871,0.51,,,,
179,1979,0.39774193548387093,0.51,,,,
180,1980,0.837741935483871,0.52,,,,
181,1981,0.607741935483871,0.53,,,,
182,1982,0.8777419354838709,0.54,,,,
183,1983,0.457741935483871,0.55,,,,
184,1984,0.317741935483871,0.55,,,,
185,1985,0.40774193548387094,0.56,,,,
186,1986,0.6377419354838709,0.56,,,,
187,1987,0.277741935483871,0.57,,,,
188,1988,0.557741935483871,0.58,,,,
189,1989,0.747741935483871,0.62,,,,
190,1990,0.727741935483871,0.66,,,,
191,1991,0.6277419354838709,0.7,,,,
192,1992,0.41774193548387095,0.74,,,,
193,1993,0.707741935483871,0.77,,,,
194,1994,1.137741935483871,0.8,,,,
195,1995,1.157741935483871,0.83,,,,
196,1996,0.917741935483871,0.85,,,,
197,1997,0.6477419354838709,0.87,,,,
198,1998,1.167741935483871,0.88,,,,
199,1999,0.767741935483871,0.89,,,,
200,2000,0.8977419354838709,0.89,,,,
201,2001,0.827741935483871,0.89,,,,
202,2002,0.947741935483871,0.88,,,,
203,2003,0.997741935483871,0.87,,,,
204,2004,0.537741935483871,0.87,,,,
205,2005,0.987741935483871,0.88,0.84,0.82,0.87,0.85
206,2006,1.047741935483871,0.88,0.88,0.86,0.9,0.89
207,2007,0.707741935483871,0.89,0.92,0.9,0.94,0.92
208,2008,0.667741935483871,0.9,0.95,0.94,0.97,0.96
209,2009,1.067741935483871,0.92,0.99,0.98,1.01,0.99
210,2010,0.347741935483871,0.95,1.03,1.02,1.04,1.03
211,2011,1.047741935483871,0.98,1.07,1.06,1.07,1.06
212,2012,1.117741935483871,1.03,1.1,1.1,1.11,1.1
213,2013,0.787741935483871,1.08,1.14,1.14,1.14,1.14
214,2014,0.977741935483871,1.14,1.18,1.18,1.17,1.17
215,2015,1.167741935483871,1.2,1.22,1.22,1.2,1.21
216,2016,1.367741935483871,1.27,1.25,1.26,1.23,1.24
217,2017,1.5177419354838708,1.33,1.27,1.29,1.26,1.27
218,2018,1.197741935483871,1.39,1.3,1.32,1.28,1.3
219,2019,1.427741935483871,1.46,1.33,1.35,1.31,1.33
220,2020,1.6677419354838712,1.53,1.36,1.38,1.33,1.37
221,2021,,,1.39,1.41,1.36,1.4
222,2022,,,1.41,1.44,1.39,1.44
223,2023,,,1.44,1.47,1.42,1.48
224,2024,,,1.47,1.5,1.46,1.52
225,2025,,,1.5,1.52,1.49,1.56
226,2026,,,1.52,1.55,1.52,1.6
227,2027,,,1.55,1.58,1.55,1.64
228,2028,,,1.58,1.61,1.58,1.68
229,2029,,,1.6,1.63,1.61,1.73
230,2030,,,1.63,1.66,1.64,1.76
231,2031,,,1.65,1.68,1.67,1.8
232,2032,,,1.68,1.7,1.71,1.84
233,2033,,,1.7,1.73,1.73,1.88
234,2034,,,1.72,1.75,1.76,1.91
235,2035,,,1.74,1.77,1.79,1.95
236,2036,,,1.76,1.8,1.83,1.99
237,2037,,,1.78,1.82,1.87,2.03
238,2038,,,1.8,1.85,1.9,2.07
239,2039,,,1.81,1.87,1.94,2.11
240,2040,,,1.82,1.89,1.98,2.16
241,2041,,,1.83,1.92,2.02,2.21
242,2042,,,1.84,1.95,2.05,2.25
243,2043,,,1.85,1.98,2.09,2.3
244,2044,,,1.85,2.01,2.13,2.35
245,2045,,,1.86,2.03,2.17,2.4
246,2046,,,1.87,2.06,2.21,2.44
247,2047,,,1.87,2.09,2.25,2.49
248,2048,,,1.88,2.11,2.29,2.54
249,2049,,,1.88,2.14,2.32,2.58
250,2050,,,1.89,2.16,2.36,2.63
251,2051,,,1.89,2.19,2.4,2.68
252,2052,,,1.9,2.21,2.43,2.73
253,2053,,,1.91,2.23,2.47,2.78
254,2054,,,1.91,2.25,2.5,2.83
255,2055,,,1.91,2.27,2.53,2.88
