New Caledonia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,-0.04481481481481486,-0.09,,,,
59,1859,0.04518518518518516,-0.09,,,,
60,1860,,,,,,
61,1861,-0.27481481481481485,-0.07,,,,
62,1862,,,,,,
63,1863,0.005185185185185182,-0.06,,,,
64,1864,-0.2148148148148148,-0.05,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,0.34518518518518515,-0.03,,,,
68,1868,-0.2248148148148148,-0.02,,,,
69,1869,-0.05481481481481487,-0.01,,,,
70,1870,-0.004814814814814827,0.01,,,,
71,1871,0.13518518518518519,0.02,,,,
72,1872,-0.024814814814814845,0.03,,,,
73,1873,-0.014814814814814836,0.04,,,,
74,1874,0.06518518518518518,0.04,,,,
75,1875,-0.014814814814814836,0.04,,,,
76,1876,0.11518518518518517,0.04,,,,
77,1877,0.3951851851851852,0.03,,,,
78,1878,0.7551851851851852,0.02,,,,
79,1879,-0.05481481481481487,0.0,,,,
80,1880,-0.2248148148148148,-0.01,,,,
81,1881,0.11518518518518517,-0.03,,,,
82,1882,-0.034814814814814854,-0.05,,,,
83,1883,-0.41481481481481486,-0.06,,,,
84,1884,-0.13481481481481483,-0.08,,,,
85,1885,-0.11481481481481481,-0.08,,,,
86,1886,0.03518518518518521,-0.07,,,,
87,1887,-0.2348148148148148,-0.05,,,,
88,1888,-0.05481481481481487,-0.04,,,,
89,1889,0.2151851851851852,-0.02,,,,
90,1890,-0.08481481481481479,-0.0,,,,
91,1891,-0.08481481481481479,0.02,,,,
92,1892,0.0851851851851852,0.05,,,,
93,1893,0.6251851851851852,0.07,,,,
94,1894,-0.14481481481481484,0.09,,,,
95,1895,-0.024814814814814845,0.1,,,,
96,1896,0.0851851851851852,0.11,,,,
97,1897,0.48518518518518516,0.11,,,,
98,1898,0.35518518518518516,0.11,,,,
99,1899,0.005185185185185182,0.09,,,,
100,1900,-0.05481481481481487,0.08,,,,
101,1901,0.7151851851851851,0.07,,,,
102,1902,-0.13481481481481483,0.07,,,,
103,1903,0.36518518518518517,0.08,,,,
104,1904,-0.3648148148148148,0.09,,,,
105,1905,-0.19481481481481477,0.09,,,,
106,1906,-0.2548148148148148,0.1,,,,
107,1907,0.6251851851851852,0.12,,,,
108,1908,0.5251851851851852,0.14,,,,
109,1909,-0.9448148148148148,0.16,,,,
110,1910,0.16518518518518516,0.19,,,,
111,1911,0.2051851851851852,0.22,,,,
112,1912,0.2151851851851852,0.24,,,,
113,1913,0.2151851851851852,0.25,,,,
114,1914,0.23518518518518516,0.24,,,,
115,1915,0.5151851851851852,0.23,,,,
116,1916,0.3751851851851852,0.23,,,,
117,1917,-0.07481481481481478,0.23,,,,
118,1918,0.1451851851851852,0.23,,,,
119,1919,0.23518518518518516,0.23,,,,
120,1920,0.2151851851851852,0.22,,,,
121,1921,0.22518518518518515,0.22,,,,
122,1922,0.35518518518518516,0.21,,,,
123,1923,0.07518518518518519,0.21,,,,
124,1924,0.48518518518518516,0.21,,,,
125,1925,-0.15481481481481485,0.21,,,,
126,1926,0.3751851851851852,0.21,,,,
127,1927,0.11518518518518517,0.2,,,,
128,1928,0.18518518518518517,0.2,,,,
129,1929,0.24518518518518517,0.19,,,,
130,1930,-0.014814814814814836,0.19,,,,
131,1931,0.7651851851851852,0.18,,,,
132,1932,0.005185185185185182,0.18,,,,
133,1933,0.5351851851851852,0.18,,,,
134,1934,-0.014814814814814836,0.19,,,,
135,1935,0.07518518518518519,0.2,,,,
136,1936,0.24518518518518517,0.21,,,,
