New Zealand,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,-0.4667857142857143,-0.02,,,,
54,1854,0.2232142857142857,-0.03,,,,
55,1855,0.3232142857142857,-0.04,,,,
56,1856,0.18321428571428572,-0.05,,,,
57,1857,0.013214285714285734,-0.06,,,,
58,1858,-0.12678571428571433,-0.06,,,,
59,1859,-0.12678571428571433,-0.06,,,,
60,1860,-0.4667857142857143,-0.06,,,,
61,1861,-0.3167857142857143,-0.07,,,,
62,1862,-0.7467857142857142,-0.08,,,,
63,1863,-0.2167857142857143,-0.07,,,,
64,1864,0.0932142857142857,-0.07,,,,
65,1865,0.13321428571428573,-0.05,,,,
66,1866,0.3332142857142857,-0.02,,,,
67,1867,0.3032142857142857,0.01,,,,
68,1868,-0.42678571428571427,0.04,,,,
69,1869,0.11321428571428571,0.06,,,,
70,1870,0.07321428571428573,0.08,,,,
71,1871,-0.15678571428571425,0.08,,,,
72,1872,0.5432142857142856,0.07,,,,
73,1873,0.1932142857142857,0.07,,,,
74,1874,-0.2167857142857143,0.07,,,,
75,1875,0.013214285714285734,0.07,,,,
76,1876,0.5132142857142857,0.07,,,,
77,1877,-0.06678571428571428,0.05,,,,
78,1878,-0.17678571428571427,0.03,,,,
79,1879,-0.09678571428571431,0.0,,,,
80,1880,0.5532142857142857,-0.03,,,,
81,1881,0.3432142857142857,-0.05,,,,
82,1882,-0.016785714285714293,-0.06,,,,
83,1883,-0.24678571428571433,-0.07,,,,
84,1884,-0.8267857142857142,-0.07,,,,
85,1885,-0.3167857142857143,-0.06,,,,
86,1886,-0.27678571428571425,-0.04,,,,
87,1887,0.06321428571428572,-0.02,,,,
88,1888,-0.4567857142857143,-0.0,,,,
89,1889,0.14321428571428568,0.02,,,,
90,1890,0.2932142857142857,0.04,,,,
91,1891,0.013214285714285734,0.07,,,,
92,1892,0.3732142857142857,0.09,,,,
93,1893,0.6132142857142857,0.1,,,,
94,1894,0.4032142857142857,0.1,,,,
95,1895,-0.0267857142857143,0.08,,,,
96,1896,-0.046785714285714264,0.05,,,,
97,1897,0.13321428571428573,0.02,,,,
98,1898,-0.09678571428571431,-0.03,,,,
99,1899,-0.16678571428571426,-0.07,,,,
100,1900,0.013214285714285734,-0.11,,,,
101,1901,-0.18678571428571428,-0.13,,,,
102,1902,-0.7267857142857141,-0.14,,,,
103,1903,-0.15678571428571425,-0.13,,,,
104,1904,-0.3267857142857143,-0.12,,,,
105,1905,-0.25678571428571434,-0.1,,,,
106,1906,-0.4667857142857143,-0.09,,,,
107,1907,0.2932142857142857,-0.08,,,,
108,1908,-0.06678571428571428,-0.07,,,,
109,1909,0.4032142857142857,-0.04,,,,
110,1910,0.5432142857142856,-0.02,,,,
111,1911,0.18321428571428572,-0.0,,,,
112,1912,-0.5367857142857142,-0.0,,,,
113,1913,-0.19678571428571429,-0.01,,,,
114,1914,-0.17678571428571427,-0.03,,,,
115,1915,0.053214285714285714,-0.06,,,,
116,1916,0.8832142857142857,-0.09,,,,
117,1917,0.6132142857142857,-0.11,,,,
118,1918,-0.28678571428571425,-0.13,,,,
119,1919,-0.4567857142857143,-0.14,,,,
120,1920,-0.37678571428571433,-0.15,,,,
121,1921,-0.07678571428571429,-0.16,,,,
122,1922,-0.07678571428571429,-0.17,,,,
123,1923,-0.18678571428571428,-0.18,,,,
124,1924,0.8332142857142857,-0.2,,,,
125,1925,-0.38678571428571434,-0.21,,,,
126,1926,-0.17678571428571427,-0.2,,,,
127,1927,-0.3267857142857143,-0.19,,,,
128,1928,0.7232142857142857,-0.17,,,,
129,1929,-0.006785714285714284,-0.16,,,,
