Nicaragua,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,-0.12612903225806438,0.02,,,,
26,1826,0.11387096774193561,-0.02,,,,
27,1827,0.5438709677419356,-0.07,,,,
28,1828,-0.1361290322580644,-0.11,,,,
29,1829,-0.47612903225806447,-0.15,,,,
30,1830,0.24387096774193562,-0.2,,,,
31,1831,-0.4161290322580644,-0.24,,,,
32,1832,-0.6361290322580644,-0.28,,,,
33,1833,-0.17612903225806442,-0.32,,,,
34,1834,-0.08612903225806434,-0.36,,,,
35,1835,-0.9061290322580644,-0.4,,,,
36,1836,,,,,,
37,1837,-0.7161290322580645,-0.43,,,,
38,1838,-0.6761290322580644,-0.44,,,,
39,1839,-0.35612903225806436,-0.44,,,,
40,1840,-0.32612903225806444,-0.43,,,,
41,1841,-0.5861290322580643,-0.41,,,,
42,1842,-0.3061290322580644,-0.38,,,,
43,1843,-0.08612903225806434,-0.33,,,,
44,1844,-0.8361290322580643,-0.29,,,,
45,1845,-0.7961290322580643,-0.25,,,,
46,1846,0.1638709677419356,-0.22,,,,
47,1847,-0.22612903225806436,-0.2,,,,
48,1848,-0.12612903225806438,-0.18,,,,
49,1849,0.2338709677419356,-0.16,,,,
50,1850,0.023870967741935645,-0.14,,,,
51,1851,-0.056129032258064426,-0.12,,,,
52,1852,-0.12612903225806438,-0.11,,,,
53,1853,-0.23612903225806436,-0.1,,,,
54,1854,-0.36612903225806437,-0.1,,,,
55,1855,-0.2561290322580644,-0.11,,,,
56,1856,0.06387096774193557,-0.12,,,,
57,1857,-0.1661290322580644,-0.13,,,,
58,1858,0.13387096774193563,-0.14,,,,
59,1859,-0.006129032258064382,-0.15,,,,
60,1860,-0.17612903225806442,-0.14,,,,
61,1861,-0.12612903225806438,-0.14,,,,
62,1862,-0.44612903225806444,-0.14,,,,
63,1863,-0.07612903225806444,-0.14,,,,
64,1864,-0.3761290322580644,-0.14,,,,
65,1865,-0.03612903225806441,-0.13,,,,
66,1866,-0.35612903225806436,-0.12,,,,
67,1867,0.14387096774193558,-0.11,,,,
68,1868,-0.18612903225806443,-0.09,,,,
69,1869,0.8438709677419356,-0.06,,,,
70,1870,-0.07612903225806444,-0.03,,,,
71,1871,-0.08612903225806434,-0.0,,,,
72,1872,0.2838709677419356,0.02,,,,
73,1873,-0.17612903225806442,0.05,,,,
74,1874,0.0938709677419356,0.07,,,,
75,1875,0.05387096774193556,0.09,,,,
76,1876,0.1038709677419356,0.1,,,,
77,1877,0.3738709677419356,0.11,,,,
78,1878,0.9438709677419357,0.1,,,,
79,1879,0.033870967741935654,0.09,,,,
80,1880,0.2338709677419356,0.08,,,,
81,1881,0.20387096774193558,0.06,,,,
82,1882,0.08387096774193559,0.04,,,,
83,1883,0.08387096774193559,0.01,,,,
84,1884,-0.17612903225806442,-0.02,,,,
85,1885,-0.23612903225806436,-0.05,,,,
86,1886,-0.04612903225806442,-0.07,,,,
87,1887,-0.31612903225806444,-0.09,,,,
88,1888,-0.23612903225806436,-0.1,,,,
89,1889,0.2238709677419356,-0.1,,,,
90,1890,-0.6161290322580644,-0.08,,,,
91,1891,0.2238709677419356,-0.05,,,,
92,1892,-0.35612903225806436,-0.01,,,,
93,1893,-0.23612903225806436,0.03,,,,
94,1894,-0.07612903225806444,0.07,,,,
95,1895,0.1038709677419356,0.11,,,,
96,1896,0.43387096774193556,0.14,,,,
97,1897,0.7738709677419356,0.17,,,,
98,1898,0.2238709677419356,0.19,,,,
99,1899,0.4138709677419356,0.21,,,,
100,1900,0.4638709677419356,0.23,,,,
101,1901,-0.03612903225806441,0.23,,,,
102,1902,0.2838709677419356,0.23,,,,
103,1903,0.3738709677419356,0.21,,,,
104,1904,-0.006129032258064382,0.18,,,,
105,1905,0.2338709677419356,0.15,,,,
106,1906,0.05387096774193556,0.13,,,,
107,1907,0.12387096774193562,0.11,,,,
108,1908,0.0938709677419356,0.1,,,,
109,1909,0.1738709677419356,0.09,,,,
110,1910,-0.43612903225806443,0.09,,,,
111,1911,-0.01612903225806439,0.09,,,,
112,1912,0.14387096774193558,0.1,,,,
113,1913,-0.2861290322580644,0.12,,,,
114,1914,0.3238709677419356,0.14,,,,
115,1915,0.7638709677419356,0.16,,,,
116,1916,0.18387096774193562,0.19,,,,
