Oman,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,-0.3800000000000001,-0.6,,,,
44,1844,-0.7700000000000001,-0.58,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,-0.53,-0.51,,,,
49,1849,-0.4700000000000001,-0.49,,,,
50,1850,-0.6400000000000001,-0.47,,,,
51,1851,-0.31000000000000005,-0.45,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,-0.2300000000000001,0.09,,,,
76,1876,0.009999999999999898,0.07,,,,
77,1877,0.4699999999999999,0.06,,,,
78,1878,0.5099999999999999,0.04,,,,
79,1879,-0.2400000000000001,0.02,,,,
80,1880,-5.551115123125783e-17,0.01,,,,
81,1881,0.36999999999999994,-0.01,,,,
82,1882,-0.2300000000000001,-0.02,,,,
83,1883,-0.2400000000000001,-0.05,,,,
84,1884,-0.1700000000000001,-0.07,,,,
85,1885,-0.09000000000000008,-0.07,,,,
86,1886,-0.04000000000000009,-0.06,,,,
87,1887,-0.28,-0.04,,,,
88,1888,0.1499999999999999,-0.02,,,,
89,1889,0.19999999999999993,-0.0,,,,
90,1890,-0.19000000000000006,0.01,,,,
91,1891,0.13999999999999993,0.02,,,,
92,1892,0.12999999999999992,0.03,,,,
93,1893,0.08999999999999991,0.03,,,,
94,1894,0.019999999999999907,0.03,,,,
95,1895,-0.22000000000000008,0.03,,,,
96,1896,0.08999999999999991,0.04,,,,
97,1897,0.06999999999999992,0.05,,,,
98,1898,-0.2300000000000001,0.06,,,,
99,1899,0.13999999999999993,0.06,,,,
100,1900,0.2099999999999999,0.06,,,,
101,1901,0.10999999999999993,0.06,,,,
102,1902,0.5299999999999999,0.06,,,,
103,1903,-0.29000000000000004,0.05,,,,
104,1904,0.2599999999999999,0.04,,,,
105,1905,-0.19000000000000006,0.02,,,,
106,1906,0.059999999999999915,-0.0,,,,
107,1907,-0.09000000000000008,-0.02,,,,
108,1908,-0.14000000000000007,-0.02,,,,
109,1909,0.11999999999999991,-0.01,,,,
110,1910,-0.2300000000000001,-0.0,,,,
111,1911,-0.18000000000000005,0.0,,,,
112,1912,0.17999999999999994,-0.0,,,,
113,1913,0.13999999999999993,-0.01,,,,
114,1914,0.13999999999999993,-0.01,,,,
115,1915,0.5399999999999999,-0.01,,,,
116,1916,-0.2500000000000001,-0.0,,,,
117,1917,-0.2500000000000001,-0.0,,,,
118,1918,-0.2300000000000001,0.0,,,,
119,1919,-0.06000000000000005,0.0,,,,
120,1920,0.18999999999999992,0.01,,,,
121,1921,-0.0500000000000001,0.03,,,,
122,1922,0.18999999999999992,0.06,,,,
123,1923,-0.0500000000000001,0.09,,,,
124,1924,0.4699999999999999,0.12,,,,
125,1925,-0.020000000000000073,0.13,,,,
126,1926,0.42999999999999994,0.15,,,,
127,1927,-5.551115123125783e-17,0.15,,,,
128,1928,-0.020000000000000073,0.15,,,,
129,1929,0.3999999999999999,0.14,,,,
130,1930,0.06999999999999992,0.12,,,,
131,1931,0.2899999999999999,0.09,,,,
132,1932,0.13999999999999993,0.07,,,,
133,1933,-0.07000000000000006,0.03,,,,
134,1934,0.009999999999999898,0.0,,,,
135,1935,0.009999999999999898,-0.02,,,,
136,1936,-0.08000000000000007,-0.02,,,,
137,1937,-0.30000000000000004,-0.01,,,,
138,1938,-0.21000000000000008,0.0,,,,
139,1939,-0.2500000000000001,0.02,,,,
