Senegal,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,-0.1277272727272728,-0.08,,,,
50,1850,-0.10772727272727278,-0.07,,,,
51,1851,0.0622727272727272,-0.06,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,0.28227272727272723,-0.01,,,,
59,1859,,,,,,
60,1860,-0.7977272727272727,0.01,,,,
61,1861,,,,,,
62,1862,-0.5877272727272728,0.02,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,0.29227272727272724,0.03,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,-0.08772727272727276,0.05,,,,
69,1869,0.3122727272727272,0.06,,,,
70,1870,0.34227272727272723,0.07,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,-0.2477272727272728,0.14,,,,
75,1875,-0.30772727272727274,0.14,,,,
76,1876,0.30227272727272725,0.13,,,,
77,1877,0.1922727272727272,0.13,,,,
78,1878,0.4522727272727272,0.12,,,,
79,1879,0.03227272727272723,0.11,,,,
80,1880,0.0622727272727272,0.1,,,,
81,1881,0.4622727272727272,0.1,,,,
82,1882,0.3322727272727272,0.09,,,,
83,1883,,,,,,
84,1884,-0.037727272727272776,0.06,,,,
85,1885,-0.3477272727272728,0.04,,,,
86,1886,-0.10772727272727278,0.04,,,,
87,1887,0.002272727272727204,0.04,,,,
88,1888,0.17227272727272722,0.05,,,,
89,1889,-0.19772727272727275,0.07,,,,
90,1890,-0.2377272727272728,0.09,,,,
91,1891,0.35227272727272724,0.12,,,,
92,1892,0.6222727272727272,0.16,,,,
93,1893,0.7622727272727272,0.19,,,,
94,1894,-0.047727272727272785,0.22,,,,
95,1895,-0.027727272727272767,0.25,,,,
96,1896,0.28227272727272723,0.28,,,,
97,1897,0.4822727272727272,0.29,,,,
98,1898,0.012272727272727213,0.28,,,,
99,1899,0.8422727272727273,0.26,,,,
100,1900,0.11227272727272719,0.24,,,,
101,1901,0.5122727272727272,0.22,,,,
102,1902,0.6822727272727271,0.2,,,,
103,1903,0.08227272727272722,0.18,,,,
104,1904,-0.2377272727272728,0.16,,,,
105,1905,0.012272727272727213,0.14,,,,
106,1906,0.2222727272727272,0.12,,,,
107,1907,-0.33772727272727276,0.12,,,,
108,1908,0.1222727272727272,0.12,,,,
109,1909,0.002272727272727204,0.14,,,,
110,1910,0.18227272727272723,0.15,,,,
111,1911,0.14227272727272722,0.16,,,,
112,1912,0.3922727272727272,0.16,,,,
113,1913,0.5422727272727272,0.16,,,,
114,1914,0.3122727272727272,0.15,,,,
115,1915,0.30227272727272725,0.15,,,,
116,1916,-0.007727272727272805,0.15,,,,
117,1917,-0.29772727272727273,0.15,,,,
118,1918,-0.20772727272727276,0.15,,,,
119,1919,0.2522727272727272,0.15,,,,
120,1920,-0.08772727272727276,0.15,,,,
121,1921,0.20227272727272722,0.16,,,,
122,1922,0.2622727272727272,0.17,,,,
123,1923,0.4622727272727272,0.19,,,,
124,1924,0.1922727272727272,0.2,,,,
125,1925,0.29227272727272724,0.21,,,,
126,1926,0.6722727272727272,0.21,,,,
127,1927,0.1322727272727272,0.22,,,,
128,1928,0.04227272727272724,0.22,,,,
129,1929,-0.20772727272727276,0.22,,,,
130,1930,-0.09772727272727277,0.21,,,,
131,1931,0.6122727272727272,0.21,,,,
132,1932,0.3122727272727272,0.21,,,,
133,1933,0.35227272727272724,0.22,,,,
134,1934,0.08227272727272722,0.25,,,,
135,1935,0.23227272727272721,0.28,,,,
136,1936,0.2622727272727272,0.31,,,,
137,1937,0.30227272727272725,0.33,,,,
138,1938,0.35227272727272724,0.35,,,,
139,1939,0.2522727272727272,0.37,,,,
