Somaliland,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,,,,,,
76,1876,,,,,,
77,1877,,,,,,
78,1878,,,,,,
79,1879,,,,,,
80,1880,,,,,,
81,1881,,,,,,
82,1882,0.06750000000000003,-0.04,,,,
83,1883,-0.052499999999999936,-0.03,,,,
84,1884,-0.15249999999999997,-0.02,,,,
85,1885,,,,,,
86,1886,0.22750000000000004,0.01,,,,
87,1887,-0.2425,0.02,,,,
88,1888,0.22750000000000004,0.04,,,,
89,1889,0.08750000000000005,0.05,,,,
90,1890,-0.16249999999999998,0.06,,,,
91,1891,0.08750000000000005,0.08,,,,
92,1892,-0.04249999999999998,0.09,,,,
93,1893,0.12750000000000003,0.11,,,,
94,1894,0.19750000000000004,0.12,,,,
95,1895,0.18750000000000006,0.14,,,,
96,1896,0.26750000000000007,0.15,,,,
97,1897,0.22750000000000004,0.16,,,,
98,1898,0.13750000000000004,0.17,,,,
99,1899,0.07750000000000004,0.18,,,,
100,1900,0.25750000000000006,0.18,,,,
101,1901,0.16750000000000004,0.17,,,,
102,1902,0.34750000000000003,0.16,,,,
103,1903,0.017500000000000016,0.15,,,,
104,1904,0.18750000000000006,0.14,,,,
105,1905,0.23750000000000004,0.13,,,,
106,1906,0.22750000000000004,0.13,,,,
107,1907,-0.18249999999999994,0.12,,,,
108,1908,-0.23249999999999998,0.11,,,,
109,1909,0.04750000000000004,0.11,,,,
110,1910,0.6175,0.1,,,,
111,1911,0.3975000000000001,0.1,,,,
112,1912,-0.062499999999999944,0.1,,,,
113,1913,-0.07249999999999995,0.11,,,,
114,1914,0.14750000000000005,0.12,,,,
115,1915,0.7675000000000001,0.13,,,,
116,1916,0.007500000000000062,0.13,,,,
117,1917,0.08750000000000005,0.14,,,,
118,1918,-0.08249999999999996,0.14,,,,
119,1919,0.43750000000000006,0.14,,,,
120,1920,0.4475,0.16,,,,
121,1921,0.17750000000000005,0.17,,,,
122,1922,-0.04249999999999998,0.19,,,,
123,1923,-0.11249999999999993,0.21,,,,
124,1924,0.3275,0.23,,,,
125,1925,0.10750000000000004,0.24,,,,
126,1926,0.6475,0.25,,,,
127,1927,0.12750000000000003,0.25,,,,
128,1928,0.29750000000000004,0.25,,,,
129,1929,0.4675,0.25,,,,
130,1930,0.3975000000000001,0.25,,,,
131,1931,0.4675,0.24,,,,
132,1932,-0.012499999999999956,0.24,,,,
133,1933,0.34750000000000003,0.23,,,,
134,1934,-0.09249999999999997,0.23,,,,
135,1935,0.13750000000000004,0.24,,,,
136,1936,0.30750000000000005,0.25,,,,
137,1937,-0.20249999999999996,0.27,,,,
138,1938,-0.03249999999999997,0.29,,,,
139,1939,0.18750000000000006,0.31,,,,
140,1940,0.5675000000000001,0.33,,,,
141,1941,0.7675000000000001,0.35,,,,
142,1942,0.6275000000000001,0.37,,,,
143,1943,0.3275,0.39,,,,
144,1944,0.5875,0.4,,,,
145,1945,0.5075000000000001,0.4,,,,
146,1946,0.30750000000000005,0.4,,,,
147,1947,0.37750000000000006,0.38,,,,
148,1948,0.38750000000000007,0.35,,,,
149,1949,0.40750000000000003,0.31,,,,
150,1950,-0.0024999999999999467,0.27,,,,
