South Sudan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,,,,,,
76,1876,,,,,,
77,1877,,,,,,
78,1878,,,,,,
79,1879,,,,,,
80,1880,-0.08888888888888885,-0.07,,,,
81,1881,,,,,,
82,1882,0.08111111111111119,-0.04,,,,
83,1883,0.011111111111111183,-0.03,,,,
84,1884,-0.20888888888888885,-0.02,,,,
85,1885,,,,,,
86,1886,0.0011111111111111738,-0.0,,,,
87,1887,-0.1688888888888888,0.01,,,,
88,1888,0.17111111111111116,0.02,,,,
89,1889,0.2711111111111112,0.03,,,,
90,1890,-0.06888888888888883,0.04,,,,
91,1891,0.07111111111111118,0.06,,,,
92,1892,0.011111111111111183,0.09,,,,
93,1893,-0.20888888888888885,0.11,,,,
94,1894,0.23111111111111118,0.14,,,,
95,1895,0.20111111111111118,0.16,,,,
96,1896,0.11111111111111116,0.18,,,,
97,1897,0.0911111111111112,0.2,,,,
98,1898,0.2711111111111112,0.21,,,,
99,1899,0.5211111111111112,0.21,,,,
100,1900,0.5211111111111112,0.21,,,,
101,1901,0.9811111111111113,0.2,,,,
102,1902,0.2511111111111112,0.19,,,,
103,1903,0.0911111111111112,0.18,,,,
104,1904,-0.32888888888888884,0.16,,,,
105,1905,0.35111111111111115,0.13,,,,
106,1906,-0.1588888888888888,0.09,,,,
107,1907,0.13111111111111118,0.06,,,,
108,1908,0.05111111111111116,0.04,,,,
109,1909,-0.01888888888888879,0.03,,,,
110,1910,0.0911111111111112,0.01,,,,
111,1911,-0.3888888888888888,-0.01,,,,
112,1912,0.12111111111111117,-0.02,,,,
113,1913,-0.048888888888888815,-0.04,,,,
114,1914,0.9211111111111112,-0.04,,,,
115,1915,0.5011111111111112,-0.04,,,,
116,1916,-0.19888888888888884,-0.03,,,,
117,1917,-0.43888888888888883,-0.02,,,,
118,1918,-0.058888888888888824,-0.0,,,,
119,1919,0.6611111111111112,0.02,,,,
120,1920,-0.19888888888888884,0.05,,,,
121,1921,0.19111111111111118,0.1,,,,
122,1922,0.10111111111111121,0.16,,,,
123,1923,0.0311111111111112,0.22,,,,
124,1924,0.5511111111111112,0.27,,,,
125,1925,0.3411111111111112,0.31,,,,
126,1926,0.4511111111111112,0.35,,,,
127,1927,0.7311111111111113,0.38,,,,
128,1928,0.5311111111111112,0.41,,,,
129,1929,0.08111111111111119,0.43,,,,
130,1930,0.3411111111111112,0.45,,,,
131,1931,0.9711111111111113,0.46,,,,
132,1932,0.3811111111111112,0.46,,,,
133,1933,0.5611111111111112,0.47,,,,
134,1934,0.3011111111111112,0.49,,,,
135,1935,0.5311111111111112,0.51,,,,
136,1936,0.5611111111111112,0.54,,,,
137,1937,0.5211111111111112,0.56,,,,
138,1938,0.4711111111111112,0.58,,,,
139,1939,0.5811111111111111,0.58,,,,
140,1940,0.8711111111111112,0.57,,,,
141,1941,0.8811111111111112,0.56,,,,
142,1942,0.8711111111111112,0.53,,,,
143,1943,0.5111111111111112,0.5,,,,
144,1944,0.4411111111111112,0.46,,,,
145,1945,0.4611111111111112,0.42,,,,
146,1946,0.3211111111111112,0.38,,,,
147,1947,0.2511111111111112,0.34,,,,
