Thailand,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,-1.157,-0.69,,,,
18,1818,-0.3970000000000001,-0.67,,,,
19,1819,-1.0870000000000002,-0.64,,,,
20,1820,-0.7970000000000002,-0.61,,,,
21,1821,-0.3070000000000001,-0.58,,,,
22,1822,-0.22700000000000004,-0.56,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,-0.20700000000000002,-0.48,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,-0.2770000000000001,-0.27,,,,
34,1834,-0.2770000000000001,-0.27,,,,
35,1835,-1.0570000000000002,-0.27,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,-0.1770000000000001,-0.3,,,,
41,1841,0.3529999999999999,-0.3,,,,
42,1842,-0.10700000000000004,-0.3,,,,
43,1843,-0.07700000000000012,-0.29,,,,
44,1844,-0.5970000000000002,-0.3,,,,
45,1845,-0.7170000000000001,-0.32,,,,
46,1846,-0.2870000000000001,-0.32,,,,
47,1847,-0.657,-0.34,,,,
48,1848,-0.5570000000000002,-0.35,,,,
49,1849,-0.5070000000000001,-0.33,,,,
50,1850,-0.3070000000000001,-0.3,,,,
51,1851,-0.20700000000000002,-0.27,,,,
52,1852,-0.1770000000000001,-0.23,,,,
53,1853,0.19299999999999995,-0.2,,,,
54,1854,0.1529999999999999,-0.17,,,,
55,1855,-0.08700000000000002,-0.14,,,,
56,1856,-0.34700000000000003,-0.13,,,,
57,1857,-0.5370000000000001,-0.13,,,,
58,1858,0.07299999999999995,-0.13,,,,
59,1859,0.06299999999999994,-0.13,,,,
60,1860,-0.14700000000000008,-0.12,,,,
61,1861,-0.25700000000000006,-0.1,,,,
62,1862,,,,,,
63,1863,-0.21700000000000003,-0.06,,,,
64,1864,-0.3270000000000001,-0.04,,,,
65,1865,0.2029999999999999,-0.03,,,,
66,1866,0.24299999999999994,-0.02,,,,
67,1867,0.1529999999999999,0.01,,,,
68,1868,0.17299999999999993,0.03,,,,
69,1869,-0.22700000000000004,0.05,,,,
70,1870,-0.13700000000000007,0.06,,,,
71,1871,0.07299999999999995,0.07,,,,
72,1872,0.18299999999999994,0.08,,,,
73,1873,0.1529999999999999,0.09,,,,
74,1874,0.2829999999999999,0.1,,,,
75,1875,-0.10700000000000004,0.11,,,,
76,1876,-0.23700000000000004,0.12,,,,
77,1877,0.30299999999999994,0.11,,,,
78,1878,0.7829999999999999,0.09,,,,
79,1879,0.2529999999999999,0.07,,,,
80,1880,0.03299999999999992,0.05,,,,
81,1881,0.1529999999999999,0.04,,,,
82,1882,0.002999999999999947,0.02,,,,
83,1883,-0.1670000000000001,0.01,,,,
84,1884,-0.4070000000000001,0.0,,,,
85,1885,0.002999999999999947,-0.01,,,,
86,1886,-0.057000000000000106,-0.02,,,,
87,1887,-0.2970000000000001,-0.03,,,,
88,1888,0.17299999999999993,-0.04,,,,
89,1889,0.3829999999999999,-0.03,,,,
90,1890,0.02299999999999991,-0.01,,,,
91,1891,0.17299999999999993,0.01,,,,
92,1892,-0.3270000000000001,0.03,,,,
93,1893,-0.5270000000000001,0.05,,,,
94,1894,-0.10700000000000004,0.07,,,,
95,1895,0.18299999999999994,0.09,,,,
96,1896,0.2529999999999999,0.11,,,,
97,1897,0.3829999999999999,0.14,,,,
98,1898,0.06299999999999994,0.17,,,,
99,1899,-0.03700000000000009,0.19,,,,
100,1900,0.43299999999999994,0.21,,,,
101,1901,0.4129999999999999,0.21,,,,
102,1902,0.4729999999999999,0.2,,,,
103,1903,0.2029999999999999,0.19,,,,
104,1904,-0.34700000000000003,0.18,,,,
105,1905,0.18299999999999994,0.17,,,,
106,1906,0.3929999999999999,0.16,,,,
107,1907,-0.10700000000000004,0.15,,,,
108,1908,0.002999999999999947,0.14,,,,
109,1909,0.2029999999999999,0.14,,,,
110,1910,0.06299999999999994,0.13,,,,
111,1911,0.2029999999999999,0.12,,,,
112,1912,0.22299999999999992,0.11,,,,
113,1913,0.02299999999999991,0.1,,,,
114,1914,0.4129999999999999,0.1,,,,
115,1915,0.3829999999999999,0.1,,,,
116,1916,-0.23700000000000004,0.09,,,,
117,1917,-0.35700000000000004,0.09,,,,
118,1918,-0.2870000000000001,0.07,,,,
119,1919,0.4629999999999999,0.06,,,,
