The Bahamas,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.2696774193548387,0.71,,,,
1,1801,0.44032258064516133,0.6,,,,
2,1802,0.3203225806451613,0.48,,,,
3,1803,0.5203225806451613,0.36,,,,
4,1804,0.3503225806451613,0.24,,,,
5,1805,0.5703225806451613,0.12,,,,
6,1806,0.25032258064516133,0.0,,,,
7,1807,-0.009677419354838679,-0.11,,,,
8,1808,-0.3096774193548387,-0.22,,,,
9,1809,-0.8196774193548387,-0.34,,,,
10,1810,-0.8196774193548387,-0.44,,,,
11,1811,-0.8696774193548388,-0.53,,,,
12,1812,-1.0596774193548386,-0.61,,,,
13,1813,-0.4096774193548387,-0.66,,,,
14,1814,-0.5096774193548387,-0.69,,,,
15,1815,-0.9996774193548387,-0.69,,,,
16,1816,-1.3196774193548388,-0.67,,,,
17,1817,-1.0696774193548388,-0.63,,,,
18,1818,-0.4096774193548387,-0.57,,,,
19,1819,-0.7196774193548386,-0.49,,,,
20,1820,-0.3796774193548387,-0.4,,,,
21,1821,-0.6396774193548386,-0.31,,,,
22,1822,0.17032258064516131,-0.22,,,,
23,1823,-0.8896774193548386,-0.14,,,,
24,1824,0.5403225806451614,-0.09,,,,
25,1825,0.010322580645161339,-0.05,,,,
26,1826,0.4903225806451613,-0.01,,,,
27,1827,0.7803225806451612,0.01,,,,
28,1828,0.8303225806451613,0.03,,,,
29,1829,-0.32967741935483863,0.03,,,,
30,1830,0.5803225806451613,-0.0,,,,
31,1831,-0.24967741935483867,-0.05,,,,
32,1832,-0.2596774193548387,-0.1,,,,
33,1833,0.00032258064516133,-0.16,,,,
34,1834,0.05032258064516132,-0.21,,,,
35,1835,-0.8396774193548387,-0.25,,,,
36,1836,-0.5596774193548387,-0.28,,,,
37,1837,-0.49967741935483867,-0.3,,,,
38,1838,-0.3996774193548387,-0.32,,,,
39,1839,-0.2896774193548387,-0.33,,,,
40,1840,-0.1496774193548387,-0.32,,,,
41,1841,-0.6296774193548388,-0.3,,,,
42,1842,-0.019677419354838688,-0.26,,,,
43,1843,-0.21967741935483864,-0.21,,,,
44,1844,-0.7496774193548387,-0.16,,,,
45,1845,-0.7196774193548386,-0.12,,,,
46,1846,-0.009677419354838679,-0.09,,,,
47,1847,0.04032258064516131,-0.06,,,,
48,1848,0.20032258064516134,-0.03,,,,
49,1849,0.4603225806451613,-0.0,,,,
50,1850,0.3403225806451613,0.02,,,,
51,1851,0.13032258064516133,0.03,,,,
52,1852,-0.21967741935483864,0.02,,,,
53,1853,0.0303225806451613,0.01,,,,
54,1854,-0.049677419354838714,-0.01,,,,
55,1855,0.020322580645161348,-0.04,,,,
56,1856,0.4203225806451613,-0.06,,,,
57,1857,-0.5896774193548387,-0.09,,,,
58,1858,-0.45967741935483863,-0.1,,,,
59,1859,-0.08967741935483864,-0.11,,,,
60,1860,-0.34967741935483865,-0.11,,,,
61,1861,0.17032258064516131,-0.1,,,,
62,1862,-0.009677419354838679,-0.08,,,,
63,1863,-0.18967741935483873,-0.07,,,,
64,1864,-0.7096774193548386,-0.04,,,,
65,1865,0.07032258064516134,-0.02,,,,
66,1866,0.06032258064516133,-0.01,,,,
67,1867,0.1603225806451613,0.01,,,,
68,1868,0.17032258064516131,0.02,,,,
69,1869,0.25032258064516133,0.03,,,,
70,1870,-0.21967741935483864,0.05,,,,
71,1871,0.25032258064516133,0.06,,,,
72,1872,-0.06967741935483873,0.07,,,,
73,1873,-0.2796774193548387,0.08,,,,
74,1874,0.08032258064516135,0.09,,,,
75,1875,0.19032258064516133,0.1,,,,
76,1876,0.05032258064516132,0.11,,,,
77,1877,0.24032258064516132,0.13,,,,
78,1878,0.2103225806451613,0.14,,,,
79,1879,0.0303225806451613,0.14,,,,
80,1880,0.3603225806451613,0.14,,,,
81,1881,0.12032258064516133,0.13,,,,
82,1882,0.2203225806451613,0.12,,,,
83,1883,0.45032258064516134,0.1,,,,
84,1884,0.06032258064516133,0.09,,,,
85,1885,0.14032258064516134,0.08,,,,
86,1886,-0.5296774193548387,0.06,,,,
87,1887,-0.2596774193548387,0.04,,,,
88,1888,0.00032258064516133,0.02,,,,
89,1889,0.020322580645161348,0.01,,,,
90,1890,0.27032258064516135,0.01,,,,
91,1891,0.020322580645161348,0.02,,,,
92,1892,-0.23967741935483866,0.04,,,,
93,1893,0.010322580645161339,0.07,,,,
