Tunisia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.522258064516129,0.73,,,,
1,1801,0.6022580645161291,0.61,,,,
2,1802,0.6522580645161291,0.49,,,,
3,1803,0.37225806451612903,0.38,,,,
4,1804,0.732258064516129,0.26,,,,
5,1805,-0.057741935483870965,0.15,,,,
6,1806,0.11225806451612905,0.04,,,,
7,1807,0.24225806451612902,-0.07,,,,
8,1808,-0.8577419354838709,-0.18,,,,
9,1809,-0.727741935483871,-0.3,,,,
10,1810,-0.6177419354838709,-0.39,,,,
11,1811,-0.207741935483871,-0.45,,,,
12,1812,-0.757741935483871,-0.49,,,,
13,1813,-0.6577419354838709,-0.5,,,,
14,1814,-1.047741935483871,-0.5,,,,
15,1815,-0.587741935483871,-0.47,,,,
16,1816,-1.117741935483871,-0.43,,,,
17,1817,-0.4977419354838709,-0.39,,,,
18,1818,0.05225806451612902,-0.34,,,,
19,1819,-0.11774193548387096,-0.3,,,,
20,1820,0.11225806451612905,-0.25,,,,
21,1821,-0.30774193548387097,-0.19,,,,
22,1822,0.44225806451612903,-0.14,,,,
23,1823,-0.26774193548387093,-0.1,,,,
24,1824,-0.07774193548387098,-0.07,,,,
25,1825,-0.15774193548387094,-0.05,,,,
26,1826,-0.19774193548387098,-0.04,,,,
27,1827,-0.07774193548387098,-0.04,,,,
28,1828,0.38225806451612904,-0.05,,,,
29,1829,-0.227741935483871,-0.06,,,,
30,1830,0.24225806451612902,-0.08,,,,
31,1831,0.13225806451612904,-0.1,,,,
32,1832,-0.07774193548387098,-0.12,,,,
33,1833,-0.16774193548387095,-0.12,,,,
34,1834,0.02225806451612905,-0.13,,,,
35,1835,-0.6577419354838709,-0.14,,,,
36,1836,-0.3877419354838709,-0.15,,,,
37,1837,-0.7877419354838711,-0.16,,,,
38,1838,-0.13774193548387098,-0.17,,,,
39,1839,-0.09774193548387095,-0.18,,,,
40,1840,0.04225806451612901,-0.17,,,,
41,1841,0.25225806451612903,-0.16,,,,
42,1842,-0.03774193548387095,-0.14,,,,
43,1843,-0.30774193548387097,-0.12,,,,
44,1844,-0.29774193548387096,-0.11,,,,
45,1845,-0.487741935483871,-0.11,,,,
46,1846,0.732258064516129,-0.11,,,,
47,1847,0.05225806451612902,-0.12,,,,
48,1848,-0.09774193548387095,-0.13,,,,
49,1849,0.11225806451612905,-0.14,,,,
50,1850,-0.467741935483871,-0.14,,,,
51,1851,-0.467741935483871,-0.14,,,,
52,1852,0.23225806451612904,-0.14,,,,
53,1853,0.07225806451612904,-0.14,,,,
54,1854,-0.447741935483871,-0.13,,,,
55,1855,-0.09774193548387095,-0.11,,,,
56,1856,-0.327741935483871,-0.09,,,,
57,1857,-0.447741935483871,-0.07,,,,
58,1858,-0.017741935483870985,-0.05,,,,
59,1859,0.17225806451612904,-0.02,,,,
60,1860,0.04225806451612901,0.0,,,,
61,1861,0.16225806451612904,0.03,,,,
62,1862,0.32225806451612904,0.05,,,,
63,1863,0.05225806451612902,0.06,,,,
64,1864,0.0022580645161290325,0.07,,,,
65,1865,0.0022580645161290325,0.07,,,,
66,1866,0.27225806451612905,0.07,,,,
67,1867,0.412258064516129,0.05,,,,
68,1868,-0.207741935483871,0.04,,,,
69,1869,-0.12774193548387097,0.02,,,,
70,1870,-0.047741935483870956,0.02,,,,
71,1871,-0.08774193548387094,0.02,,,,
72,1872,0.20225806451612904,0.02,,,,
73,1873,-0.007741935483870976,0.03,,,,
74,1874,-0.26774193548387093,0.04,,,,
75,1875,-0.207741935483871,0.05,,,,
76,1876,0.21225806451612905,0.05,,,,
77,1877,0.17225806451612904,0.04,,,,
78,1878,0.762258064516129,0.02,,,,
79,1879,0.0022580645161290325,0.0,,,,
80,1880,0.13225806451612904,-0.01,,,,
81,1881,0.572258064516129,-0.03,,,,
82,1882,-0.08774193548387094,-0.05,,,,
83,1883,-0.567741935483871,-0.08,,,,
84,1884,-0.597741935483871,-0.11,,,,
85,1885,-0.08774193548387094,-0.14,,,,
86,1886,-0.207741935483871,-0.16,,,,
87,1887,-0.09774193548387095,-0.15,,,,
88,1888,-0.18774193548387097,-0.14,,,,
89,1889,-0.17774193548387096,-0.1,,,,
90,1890,-0.8277419354838709,-0.06,,,,
91,1891,-0.457741935483871,-0.02,,,,
92,1892,0.31225806451612903,0.03,,,,
93,1893,0.47225806451612906,0.07,,,,
94,1894,0.03225806451612906,0.11,,,,
95,1895,0.6322580645161291,0.14,,,,
96,1896,-0.217741935483871,0.18,,,,
97,1897,0.4922580645161291,0.2,,,,
98,1898,0.12225806451612903,0.2,,,,
99,1899,0.562258064516129,0.18,,,,
100,1900,0.302258064516129,0.15,,,,
101,1901,0.11225806451612905,0.11,,,,
102,1902,0.37225806451612903,0.07,,,,
103,1903,-0.317741935483871,0.03,,,,
104,1904,0.21225806451612905,-0.01,,,,
105,1905,-0.17774193548387096,-0.04,,,,
106,1906,-0.5277419354838709,-0.06,,,,
107,1907,-0.597741935483871,-0.07,,,,
108,1908,0.10225806451612904,-0.08,,,,
109,1909,-0.347741935483871,-0.08,,,,
110,1910,-0.18774193548387097,-0.08,,,,
111,1911,0.06225806451612903,-0.07,,,,
112,1912,0.05225806451612902,-0.06,,,,
113,1913,0.432258064516129,-0.04,,,,
114,1914,-0.06774193548387097,-0.02,,,,
115,1915,-0.02774193548387094,0.01,,,,
116,1916,0.33225806451612905,0.03,,,,
117,1917,-0.3677419354838709,0.05,,,,
118,1918,-0.28774193548387095,0.07,,,,
119,1919,-0.13774193548387098,0.09,,,,
120,1920,0.532258064516129,0.12,,,,
121,1921,0.0022580645161290325,0.15,,,,
122,1922,0.4922580645161291,0.19,,,,
123,1923,-0.42774193548387096,0.24,,,,
124,1924,0.522258064516129,0.29,,,,
125,1925,-0.14774193548387093,0.34,,,,
126,1926,0.6122580645161291,0.38,,,,
127,1927,0.762258064516129,0.4,,,,
128,1928,0.512258064516129,0.41,,,,
129,1929,-0.467741935483871,0.42,,,,
130,1930,0.6522580645161291,0.42,,,,
131,1931,1.042258064516129,0.42,,,,
132,1932,0.4922580645161291,0.4,,,,
133,1933,0.34225806451612906,0.38,,,,
134,1934,0.24225806451612902,0.35,,,,
135,1935,0.15225806451612903,0.32,,,,
136,1936,0.10225806451612904,0.3,,,,
137,1937,0.792258064516129,0.29,,,,
138,1938,-0.43774193548387097,0.29,,,,
139,1939,0.28225806451612906,0.3,,,,
140,1940,-0.12774193548387097,0.32,,,,
141,1941,0.05225806451612902,0.35,,,,
142,1942,0.572258064516129,0.38,,,,
143,1943,0.6522580645161291,0.4,,,,
144,1944,0.03225806451612906,0.43,,,,
145,1945,0.682258064516129,0.46,,,,
146,1946,0.9822580645161291,0.48,,,,
147,1947,1.362258064516129,0.49,,,,
148,1948,0.532258064516129,0.49,,,,
149,1949,0.35225806451612907,0.48,,,,
150,1950,0.39225806451612905,0.46,,,,
151,1951,0.432258064516129,0.43,,,,
152,1952,0.9922580645161291,0.41,,,,
153,1953,0.14225806451612905,0.4,,,,
154,1954,-0.14774193548387093,0.39,,,,
155,1955,1.292258064516129,0.39,,,,
156,1956,-0.2577419354838709,0.39,,,,
157,1957,-0.057741935483870965,0.39,,,,
158,1958,0.6322580645161291,0.4,,,,
159,1959,0.33225806451612905,0.4,,,,
160,1960,0.922258064516129,0.41,,,,
161,1961,0.6622580645161291,0.42,,,,
162,1962,0.362258064516129,0.43,,,,
163,1963,0.582258064516129,0.44,,,,
164,1964,0.40225806451612905,0.43,,,,
165,1965,0.26225806451612904,0.41,,,,
166,1966,0.522258064516129,0.38,,,,
167,1967,0.28225806451612906,0.34,,,,
168,1968,0.512258064516129,0.3,,,,
169,1969,0.24225806451612902,0.26,,,,
170,1970,0.39225806451612905,0.23,,,,
171,1971,-0.02774193548387094,0.2,,,,
172,1972,-0.03774193548387095,0.19,,,,
173,1973,0.21225806451612905,0.18,,,,
174,1974,-0.02774193548387094,0.18,,,,
175,1975,0.07225806451612904,0.19,,,,
176,1976,-0.3877419354838709,0.22,,,,
177,1977,0.942258064516129,0.24,,,,
178,1978,0.07225806451612904,0.28,,,,
179,1979,0.502258064516129,0.33,,,,
180,1980,-0.15774193548387094,0.38,,,,
181,1981,0.6322580645161291,0.45,,,,
182,1982,0.832258064516129,0.52,,,,
183,1983,0.552258064516129,0.59,,,,
184,1984,0.13225806451612904,0.65,,,,
185,1985,0.752258064516129,0.71,,,,
186,1986,0.552258064516129,0.75,,,,
187,1987,1.062258064516129,0.8,,,,
188,1988,1.272258064516129,0.84,,,,
189,1989,1.052258064516129,0.88,,,,
190,1990,1.262258064516129,0.92,,,,
191,1991,0.19225806451612903,0.97,,,,
192,1992,0.35225806451612907,1.02,,,,
193,1993,0.892258064516129,1.07,,,,
194,1994,1.572258064516129,1.12,,,,
195,1995,1.0022580645161292,1.17,,,,
196,1996,0.8622580645161291,1.22,,,,
197,1997,1.4122580645161291,1.27,,,,
198,1998,1.072258064516129,1.32,,,,
199,1999,2.022258064516129,1.37,,,,
200,2000,1.4422580645161291,1.4,,,,
201,2001,2.012258064516129,1.44,,,,
202,2002,1.652258064516129,1.46,,,,
203,2003,1.762258064516129,1.48,,,,
204,2004,1.2322580645161292,1.5,,,,
205,2005,1.112258064516129,1.51,1.41,1.4,1.44,1.4
206,2006,1.582258064516129,1.52,1.44,1.43,1.46,1.43
207,2007,1.462258064516129,1.52,1.47,1.46,1.49,1.46
208,2008,1.482258064516129,1.53,1.49,1.49,1.51,1.48
209,2009,1.322258064516129,1.54,1.52,1.51,1.54,1.51
210,2010,1.872258064516129,1.56,1.55,1.54,1.56,1.54
211,2011,1.222258064516129,1.58,1.58,1.57,1.59,1.57
212,2012,1.792258064516129,1.6,1.61,1.6,1.61,1.6
213,2013,1.542258064516129,1.62,1.63,1.63,1.63,1.63
214,2014,2.092258064516129,1.64,1.66,1.66,1.66,1.66
215,2015,1.492258064516129,1.66,1.69,1.69,1.68,1.7
216,2016,2.082258064516129,1.69,1.71,1.72,1.7,1.72
217,2017,1.272258064516129,1.71,1.74,1.75,1.72,1.75
218,2018,1.772258064516129,1.73,1.77,1.79,1.75,1.79
219,2019,1.512258064516129,1.75,1.81,1.83,1.78,1.82
220,2020,1.9222580645161291,1.77,1.85,1.87,1.82,1.86
221,2021,,,1.88,1.91,1.86,1.9
222,2022,,,1.91,1.95,1.9,1.94
223,2023,,,1.95,1.99,1.93,1.97
224,2024,,,1.98,2.02,1.97,2.01
225,2025,,,2.01,2.05,2.01,2.05
226,2026,,,2.03,2.08,2.05,2.09
227,2027,,,2.06,2.1,2.09,2.13
228,2028,,,2.08,2.13,2.12,2.17
229,2029,,,2.1,2.15,2.16,2.21
230,2030,,,2.12,2.18,2.19,2.25
231,2031,,,2.14,2.2,2.23,2.29
232,2032,,,2.16,2.23,2.26,2.33
233,2033,,,2.18,2.25,2.29,2.37
234,2034,,,2.2,2.27,2.32,2.41
235,2035,,,2.22,2.3,2.35,2.46
236,2036,,,2.23,2.33,2.38,2.5
237,2037,,,2.24,2.35,2.41,2.55
238,2038,,,2.26,2.37,2.44,2.6
239,2039,,,2.27,2.4,2.48,2.65
240,2040,,,2.29,2.41,2.51,2.7
241,2041,,,2.31,2.44,2.55,2.75
242,2042,,,2.33,2.46,2.59,2.8
243,2043,,,2.35,2.48,2.63,2.86
244,2044,,,2.36,2.5,2.67,2.91
245,2045,,,2.38,2.53,2.71,2.96
246,2046,,,2.4,2.55,2.75,3.01
247,2047,,,2.42,2.58,2.8,3.06
248,2048,,,2.43,2.61,2.84,3.1
249,2049,,,2.44,2.64,2.88,3.15
250,2050,,,2.44,2.66,2.92,3.19
251,2051,,,2.44,2.7,2.96,3.24
252,2052,,,2.44,2.72,2.99,3.29
253,2053,,,2.44,2.75,3.03,3.34
254,2054,,,2.43,2.77,3.06,3.38
255,2055,,,2.43,2.8,3.1,3.43
256,2056,,,2.43,2.82,3.14,3.49
257,2057,,,2.43,2.85,3.18,3.54
258,2058,,,2.43,2.87,3.22,3.6
259,2059,,,2.43,2.9,3.27,3.66
260,2060,,,2.43,2.92,3.31,3.71
261,2061,,,2.44,2.94,3.35,3.77
262,2062,,,2.45,2.97,3.39,3.83
263,2063,,,2.45,2.99,3.43,3.89
264,2064,,,2.46,3.01,3.47,3.94
265,2065,,,2.47,3.02,3.5,4.0
266,2066,,,2.46,3.04,3.54,4.06
267,2067,,,2.46,3.05,3.58,4.12
268,2068,,,2.45,3.07,3.61,4.18
269,2069,,,2.45,3.08,3.64,4.25
270,2070,,,2.45,3.1,3.68,4.31
271,2071,,,2.44,3.11,3.72,4.37
272,2072,,,2.44,3.13,3.77,4.43
273,2073,,,2.43,3.14,3.82,4.49
274,2074,,,2.42,3.16,3.86,4.55
275,2075,,,2.42,3.18,3.91,4.61
276,2076,,,2.41,3.2,3.96,4.67
277,2077,,,2.41,3.22,4.01,4.73
278,2078,,,2.4,3.24,4.06,4.79
279,2079,,,2.4,3.26,4.11,4.86
280,2080,,,2.4,3.28,4.17,4.92
281,2081,,,2.4,3.3,4.22,4.98
282,2082,,,2.39,3.32,4.26,5.04
283,2083,,,2.4,3.34,4.31,5.1
284,2084,,,2.4,3.36,4.36,5.16
285,2085,,,2.4,3.37,4.41,5.22
286,2086,,,2.41,3.38,4.46,5.28
287,2087,,,2.41,3.39,4.51,5.34
288,2088,,,2.41,3.4,4.56,5.39
289,2089,,,2.4,3.41,4.6,5.45
290,2090,,,2.4,3.42,4.64,5.51
291,2091,,,2.39,3.43,4.68,5.57
292,2092,,,2.39,3.44,4.72,5.63
293,2093,,,2.38,3.45,4.77,5.69
294,2094,,,2.38,3.45,4.81,5.74
295,2095,,,2.37,3.46,4.86,5.8
296,2096,,,2.37,3.47,4.9,5.86
297,2097,,,2.37,3.48,4.95,5.92
298,2098,,,2.36,3.48,4.99,5.98
299,2099,,,2.36,3.49,5.04,6.03
300,2100,,,2.36,3.5,5.09,6.1
