Uruguay,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,-0.7623333333333333,-0.66,,,,
33,1833,-0.07233333333333325,-0.65,,,,
34,1834,-0.21233333333333326,-0.63,,,,
35,1835,-0.8723333333333332,-0.61,,,,
36,1836,-0.6323333333333332,-0.59,,,,
37,1837,-0.9823333333333333,-0.57,,,,
38,1838,-0.7523333333333333,-0.55,,,,
39,1839,-0.6923333333333332,-0.53,,,,
40,1840,-0.45233333333333325,-0.51,,,,
41,1841,-0.7023333333333333,-0.49,,,,
42,1842,-0.2923333333333332,-0.47,,,,
43,1843,-0.1323333333333333,-0.45,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,-0.2523333333333333,-0.2,,,,
52,1852,-0.2723333333333333,-0.18,,,,
53,1853,-0.2523333333333333,-0.16,,,,
54,1854,-0.1223333333333333,-0.15,,,,
55,1855,-0.2823333333333333,-0.13,,,,
56,1856,0.11766666666666675,-0.12,,,,
57,1857,0.7076666666666667,-0.09,,,,
58,1858,-0.11233333333333329,-0.07,,,,
59,1859,0.027666666666666728,-0.04,,,,
60,1860,-0.2523333333333333,-0.02,,,,
61,1861,-0.09233333333333327,0.01,,,,
62,1862,-0.07233333333333325,0.04,,,,
63,1863,-0.46233333333333326,0.06,,,,
64,1864,0.10766666666666674,0.07,,,,
65,1865,0.6376666666666667,0.09,,,,
66,1866,0.34766666666666673,0.1,,,,
67,1867,0.1276666666666667,0.11,,,,
68,1868,0.5276666666666667,0.11,,,,
69,1869,0.06766666666666671,0.1,,,,
70,1870,0.10766666666666674,0.08,,,,
71,1871,-0.3923333333333333,0.05,,,,
72,1872,0.03766666666666674,0.02,,,,
73,1873,0.3376666666666667,-0.01,,,,
74,1874,-0.5323333333333333,-0.04,,,,
75,1875,-0.20233333333333325,-0.05,,,,
76,1876,-0.10233333333333328,-0.06,,,,
77,1877,0.7276666666666667,-0.06,,,,
78,1878,-0.2623333333333333,-0.06,,,,
79,1879,-0.15233333333333332,-0.06,,,,
80,1880,-0.06233333333333324,-0.06,,,,
81,1881,0.1876666666666667,-0.07,,,,
82,1882,-0.31233333333333324,-0.07,,,,
83,1883,0.1976666666666667,-0.07,,,,
84,1884,0.2576666666666667,-0.07,,,,
85,1885,-0.34233333333333327,-0.08,,,,
86,1886,-0.4823333333333333,-0.08,,,,
87,1887,-0.30233333333333323,-0.09,,,,
88,1888,0.3976666666666667,-0.1,,,,
89,1889,-0.04233333333333322,-0.1,,,,
90,1890,-0.22233333333333327,-0.08,,,,
91,1891,0.09766666666666673,-0.05,,,,
92,1892,-0.1223333333333333,-0.01,,,,
93,1893,-0.47233333333333327,0.03,,,,
94,1894,-0.2823333333333333,0.08,,,,
95,1895,0.34766666666666673,0.12,,,,
96,1896,0.6976666666666668,0.16,,,,
97,1897,0.3276666666666667,0.19,,,,
98,1898,-0.5823333333333334,0.22,,,,
99,1899,0.3876666666666667,0.24,,,,
100,1900,0.8276666666666668,0.25,,,,
101,1901,0.28766666666666674,0.24,,,,
102,1902,0.5076666666666667,0.21,,,,
103,1903,0.09766666666666673,0.16,,,,
104,1904,-0.09233333333333327,0.1,,,,
105,1905,-0.09233333333333327,0.04,,,,
106,1906,0.7176666666666667,-0.01,,,,
107,1907,-0.09233333333333327,-0.04,,,,
108,1908,-0.3523333333333333,-0.04,,,,
109,1909,-0.32233333333333325,-0.03,,,,
110,1910,-0.5223333333333333,-0.02,,,,
111,1911,-0.9023333333333332,-0.01,,,,
112,1912,0.23766666666666675,0.0,,,,
113,1913,0.8176666666666668,0.03,,,,
114,1914,0.8076666666666668,0.06,,,,
115,1915,0.2576666666666667,0.11,,,,
116,1916,-0.09233333333333327,0.15,,,,
117,1917,-0.11233333333333329,0.17,,,,
118,1918,-0.022333333333333316,0.17,,,,
119,1919,0.7076666666666667,0.16,,,,
120,1920,0.3276666666666667,0.16,,,,
121,1921,-0.05233333333333323,0.18,,,,
122,1922,0.14766666666666672,0.21,,,,
