Zambia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,-0.36478260869565216,-0.22,,,,
58,1858,0.005217391304347785,-0.19,,,,
59,1859,0.1552173913043478,-0.16,,,,
60,1860,-0.20478260869565224,-0.13,,,,
61,1861,-0.2947826086956522,-0.1,,,,
62,1862,-0.5647826086956522,-0.07,,,,
63,1863,-0.06478260869565222,-0.05,,,,
64,1864,-0.14478260869565218,-0.02,,,,
65,1865,0.16521739130434782,-0.0,,,,
66,1866,0.2752173913043478,0.02,,,,
67,1867,0.3752173913043478,0.05,,,,
68,1868,0.03521739130434781,0.06,,,,
69,1869,0.3352173913043478,0.08,,,,
70,1870,0.005217391304347785,0.09,,,,
71,1871,-0.044782608695652204,0.09,,,,
72,1872,0.005217391304347785,0.08,,,,
73,1873,,,,,,
74,1874,0.2052173913043478,0.04,,,,
75,1875,-0.1747826086956522,0.02,,,,
76,1876,-0.044782608695652204,-0.0,,,,
77,1877,0.42521739130434777,-0.02,,,,
78,1878,0.5952173913043478,-0.03,,,,
79,1879,-0.21478260869565224,-0.04,,,,
80,1880,-0.46478260869565224,-0.04,,,,
81,1881,-0.22478260869565225,-0.05,,,,
82,1882,-0.014782608695652177,-0.06,,,,
83,1883,-0.024782608695652186,-0.06,,,,
84,1884,-0.25478260869565217,-0.07,,,,
85,1885,0.03521739130434781,-0.07,,,,
86,1886,0.09521739130434781,-0.06,,,,
87,1887,-0.19478260869565223,-0.05,,,,
88,1888,-0.004782608695652224,-0.03,,,,
89,1889,0.5652173913043478,-0.01,,,,
90,1890,-0.2647826086956522,0.01,,,,
91,1891,-0.1547826086956522,0.03,,,,
92,1892,0.005217391304347785,0.05,,,,
93,1893,-0.044782608695652204,0.08,,,,
94,1894,0.09521739130434781,0.1,,,,
95,1895,0.18521739130434778,0.13,,,,
96,1896,0.3652173913043478,0.15,,,,
97,1897,0.3152173913043478,0.17,,,,
98,1898,-0.044782608695652204,0.19,,,,
99,1899,0.2352173913043478,0.19,,,,
100,1900,0.7052173913043478,0.18,,,,
101,1901,0.1952173913043478,0.16,,,,
102,1902,0.3852173913043478,0.14,,,,
103,1903,0.29521739130434776,0.12,,,,
104,1904,-0.47478260869565225,0.09,,,,
105,1905,0.1352173913043478,0.08,,,,
106,1906,-0.19478260869565223,0.07,,,,
107,1907,-0.4247826086956522,0.07,,,,
108,1908,0.1452173913043478,0.07,,,,
109,1909,0.10521739130434782,0.09,,,,
110,1910,-0.25478260869565217,0.11,,,,
111,1911,-0.2947826086956522,0.14,,,,
112,1912,0.3752173913043478,0.18,,,,
113,1913,0.3152173913043478,0.22,,,,
114,1914,0.6552173913043478,0.26,,,,
115,1915,0.6152173913043478,0.3,,,,
116,1916,0.3152173913043478,0.35,,,,
117,1917,0.3252173913043478,0.39,,,,
118,1918,-0.05478260869565221,0.42,,,,
119,1919,0.3552173913043478,0.44,,,,
120,1920,0.5752173913043478,0.44,,,,
121,1921,0.4852173913043478,0.44,,,,
122,1922,1.0252173913043476,0.44,,,,
123,1923,0.6452173913043477,0.45,,,,
124,1924,0.5752173913043478,0.45,,,,
125,1925,0.09521739130434781,0.46,,,,
126,1926,0.3852173913043478,0.45,,,,
127,1927,0.28521739130434776,0.43,,,,
128,1928,0.5652173913043478,0.41,,,,
129,1929,0.5252173913043479,0.38,,,,
130,1930,0.2452173913043478,0.35,,,,
131,1931,0.7152173913043478,0.32,,,,
132,1932,0.28521739130434776,0.3,,,,
133,1933,0.11521739130434777,0.29,,,,
134,1934,0.3152173913043478,0.29,,,,
