Zimbabwe,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,-0.4004545454545454,-0.26,,,,
58,1858,-0.0304545454545454,-0.22,,,,
59,1859,0.13954545454545464,-0.19,,,,
60,1860,-0.22045454545454535,-0.16,,,,
61,1861,-0.3204545454545453,-0.13,,,,
62,1862,-0.5304545454545454,-0.09,,,,
63,1863,-0.10045454545454535,-0.07,,,,
64,1864,-0.1604545454545454,-0.04,,,,
65,1865,0.20954545454545465,-0.01,,,,
66,1866,0.27954545454545465,0.01,,,,
67,1867,0.3495454545454546,0.03,,,,
68,1868,-0.0004545454545453742,0.04,,,,
69,1869,0.3095454545454546,0.06,,,,
70,1870,-0.0304545454545454,0.07,,,,
71,1871,-0.06045454545454543,0.08,,,,
72,1872,-0.020454545454545392,0.07,,,,
73,1873,,,,,,
74,1874,0.1695454545454546,0.05,,,,
75,1875,-0.22045454545454535,0.04,,,,
76,1876,-0.07045454545454533,0.03,,,,
77,1877,0.3695454545454546,0.01,,,,
78,1878,0.5195454545454546,0.01,,,,
79,1879,-0.18045454545454542,0.0,,,,
80,1880,,,,,,
81,1881,-0.11045454545454536,-0.01,,,,
82,1882,-0.09045454545454534,-0.01,,,,
83,1883,-0.020454545454545392,-0.02,,,,
84,1884,-0.2704545454545454,-0.02,,,,
85,1885,0.009545454545454635,-0.03,,,,
86,1886,0.11954545454545462,-0.03,,,,
87,1887,-0.22045454545454535,-0.03,,,,
88,1888,0.059545454545454624,-0.01,,,,
89,1889,0.5695454545454546,0.0,,,,
90,1890,-0.17045454545454541,0.02,,,,
91,1891,-0.11045454545454536,0.04,,,,
92,1892,0.0995454545454546,0.05,,,,
93,1893,-0.08045454545454533,0.06,,,,
94,1894,-0.04045454545454541,0.08,,,,
95,1895,0.1595454545454546,0.09,,,,
96,1896,0.43954545454545463,0.1,,,,
97,1897,0.27954545454545465,0.11,,,,
98,1898,-0.2704545454545454,0.12,,,,
99,1899,0.10954545454545461,0.11,,,,
100,1900,0.5795454545454546,0.09,,,,
101,1901,-0.05045454545454542,0.07,,,,
102,1902,0.2195454545454546,0.05,,,,
103,1903,0.1695454545454546,0.03,,,,
104,1904,-0.6204545454545455,0.01,,,,
105,1905,0.13954545454545464,0.0,,,,
106,1906,-0.3804545454545454,0.0,,,,
107,1907,-0.5404545454545454,0.02,,,,
108,1908,0.2995454545454546,0.05,,,,
109,1909,0.23954545454545462,0.09,,,,
110,1910,-0.4004545454545454,0.14,,,,
111,1911,-0.2804545454545454,0.19,,,,
112,1912,0.4195454545454546,0.24,,,,
113,1913,0.5995454545454546,0.27,,,,
114,1914,0.7895454545454546,0.31,,,,
115,1915,0.5295454545454547,0.34,,,,
116,1916,0.4795454545454546,0.37,,,,
117,1917,0.3295454545454546,0.39,,,,
118,1918,-0.09045454545454534,0.4,,,,
119,1919,0.1595454545454546,0.4,,,,
120,1920,0.5695454545454546,0.38,,,,
121,1921,0.1695454545454546,0.37,,,,
122,1922,1.0295454545454548,0.37,,,,
123,1923,0.6395454545454546,0.37,,,,
124,1924,0.3295454545454546,0.38,,,,
125,1925,0.12954545454545463,0.39,,,,
126,1926,0.44954545454545464,0.39,,,,
127,1927,0.08954545454545465,0.39,,,,
128,1928,0.6995454545454547,0.37,,,,
129,1929,0.4995454545454546,0.35,,,,
130,1930,0.039545454545454606,0.33,,,,
131,1931,0.7595454545454546,0.31,,,,
132,1932,0.28954545454545466,0.3,,,,
133,1933,0.13954545454545464,0.28,,,,
134,1934,0.5195454545454546,0.28,,,,
135,1935,-0.12045454545454537,0.28,,,,
